id	hyhinh3uan
01001	28
01003	28
01005	23
01007	35
01009	50
01011	23
01013	23
01015	46
01017	35
01019	46
01021	32
01023	23
01025	23
01027	41
01029	45
01031	22
01033	40
01035	23
01037	37
01039	21
01041	23
01043	45
01045	22
01047	25
01049	45
01051	32
01053	25
01055	47
01057	33
01059	39
01061	21
01063	27
01065	24
01067	21
01069	20
01071	44
01073	62
01075	33
01077	42
01079	41
01081	34
01083	45
01085	24
01087	28
01089	47
01091	23
01093	37
01095	46
01097	35
01099	23
01101	27
01103	46
01105	25
01107	31
01109	24
01111	38
01113	29
01115	48
01117	46
01119	24
01121	45
01123	36
01125	35
01127	39
01129	24
01131	23
01133	41
05001	25
05003	23
05005	31
05007	35
05009	31
05011	23
05013	24
05015	32
05017	23
05019	24
05021	33
05023	30
05025	24
05027	23
05029	29
05031	33
05033	32
05035	35
05037	31
05039	27
05041	24
05043	23
05045	30
05047	28
05049	32
05051	28
05053	27
05055	33
05057	22
05059	27
05061	21
05063	30
05065	30
05067	30
05069	26
05071	28
05073	23
05075	32
05077	29
05079	25
05081	22
05083	26
05085	29
05087	30
05089	31
05091	23
05093	35
05095	27
05097	24
05099	23
05101	30
05103	23
05105	28
05107	27
05109	23
05111	31
05113	23
05115	28
05117	28
05119	38
05121	33
05123	31
05125	32
05127	23
05129	30
05131	28
05133	22
05135	32
05137	30
05139	23
05141	29
05143	33
05145	30
05147	28
05149	26
09001	46
09003	47
09005	88
09007	22
09009	22
09011	22
09013	48
09015	63
10001	15
10003	31
10005	7
11001	25
12001	26
12003	22
12005	16
12007	22
12009	54
12011	23
12013	13
12015	32
12017	30
12019	39
12021	22
12023	17
12027	37
12029	11
12031	55
12033	28
12035	48
12037	10
12039	15
12041	14
12043	27
12045	12
12047	18
12049	44
12051	22
12053	40
12055	37
12057	101
12059	19
12061	42
12063	17
12065	14
12067	10
12069	66
12071	32
12073	18
12075	11
12077	12
12079	13
12081	43
12083	44
12085	38
12086	19
12087	9
12089	37
12091	23
12093	33
12095	110
12097	61
12099	30
12101	55
12103	62
12105	79
12107	39
12109	44
12111	37
12113	24
12115	39
12117	81
12119	59
12121	15
12123	10
12125	22
12127	67
12129	10
12131	20
12133	17
13001	23
13003	20
13005	22
13007	19
13009	28
13011	41
13013	46
13015	60
13017	21
13019	21
13021	33
13023	24
13025	23
13027	18
13029	30
13031	24
13033	25
13035	35
13037	19
13039	32
13043	23
13045	47
13047	48
13049	21
13051	43
13053	27
13055	46
13057	60
13059	34
13061	22
13063	78
13065	20
13067	119
13069	21
13071	20
13073	30
13075	21
13077	46
13079	29
13081	23
13083	46
13085	50
13087	17
13089	111
13091	22
13093	23
13095	22
13097	72
13099	19
13101	18
13103	27
13105	29
13107	24
13109	23
13111	38
13113	56
13115	48
13117	73
13119	37
13121	128
13123	42
13125	27
13127	26
13129	48
13131	19
13133	29
13135	80
13137	41
13139	56
13141	27
13143	49
13145	35
13147	34
13149	39
13151	47
13153	28
13155	21
13157	41
13159	33
13161	22
13163	26
13165	23
13167	25
13169	30
13171	36
13173	21
13175	23
13177	22
13179	29
13181	29
13183	25
13185	20
13187	50
13189	28
13191	26
13193	23
13195	36
13197	25
13199	34
13201	19
13205	19
13207	32
13209	23
13211	29
13213	45
13215	35
13217	41
13219	35
13221	29
13223	67
13225	30
13227	50
13229	23
13231	38
13233	50
13235	23
13237	29
13239	22
13241	40
13243	21
13245	34
13247	52
13249	25
13251	23
13253	17
13255	41
13257	37
13259	24
13261	23
13263	32
13265	27
13267	23
13269	27
13271	22
13273	21
13275	18
13277	22
13279	23
13281	39
13283	23
13285	37
13287	22
13289	27
13291	38
13293	33
13295	46
13297	44
13299	22
13301	27
13303	25
13305	23
13307	25
13309	22
13311	42
13313	47
13315	23
13317	27
13319	27
13321	22
17001	47
17003	37
17005	46
17007	93
17009	49
17011	75
17013	51
17015	69
17017	51
17019	55
17021	50
17023	53
17025	47
17027	44
17029	53
17031	79
17033	53
17035	52
17037	117
17039	53
17041	54
17043	123
17045	56
17047	46
17049	49
17051	46
17053	55
17055	42
17057	55
17059	43
17061	48
17063	81
17065	42
17067	48
17069	41
17071	54
17073	67
17075	56
17077	41
17079	50
17081	43
17083	50
17085	52
17087	39
17089	137
17091	59
17093	101
17095	61
17097	42
17099	81
17101	49
17103	90
17105	62
17107	53
17109	50
17111	85
17113	56
17115	52
17117	48
17119	46
17121	46
17123	66
17125	52
17127	39
17129	52
17131	55
17133	46
17135	48
17137	49
17139	51
17141	86
17143	62
17145	41
17147	53
17149	47
17151	40
17153	37
17155	66
17157	42
17159	49
17161	62
17163	45
17165	42
17167	49
17169	50
17171	49
17173	48
17175	65
17177	72
17179	57
17181	39
17183	55
17185	46
17187	55
17189	43
17191	45
17193	44
17195	71
17197	76
17199	41
17201	80
17203	60
18001	59
18003	57
18005	65
18007	55
18009	62
18011	66
18013	64
18015	57
18017	57
18019	55
18021	65
18023	60
18025	57
18027	54
18029	79
18031	73
18033	59
18035	65
18037	52
18039	59
18041	75
18043	57
18045	59
18047	76
18049	57
18051	48
18053	59
18055	57
18057	62
18059	67
18061	59
18063	73
18065	68
18067	59
18069	58
18071	60
18073	55
18075	64
18077	62
18079	66
18081	67
18083	50
18085	58
18087	61
18089	59
18091	54
18093	57
18095	63
18097	70
18099	58
18101	56
18103	58
18105	64
18107	62
18109	69
18111	56
18113	58
18115	72
18117	57
18119	64
18121	62
18123	52
18125	50
18127	51
18129	45
18131	56
18133	71
18135	67
18137	74
18139	73
18141	59
18143	57
18145	69
18147	47
18149	57
18151	62
18153	55
18155	62
18157	58
18159	61
18161	75
18163	47
18165	58
18167	61
18169	58
18171	55
18173	48
18175	57
18177	73
18179	58
18181	55
18183	58
19001	38
19003	38
19005	34
19007	44
19009	35
19011	47
19013	42
19015	37
19017	34
19019	43
19021	31
19023	36
19025	35
19027	33
19029	35
19031	55
19033	32
19035	29
19037	34
19039	40
19041	29
19043	39
19045	60
19047	31
19049	40
19051	46
19053	40
19055	44
19057	52
19059	27
19061	50
19063	27
19065	36
19067	34
19069	36
19071	35
19073	35
19075	39
19077	37
19079	34
19081	31
19083	36
19085	33
19087	51
19089	31
19091	32
19093	31
19095	47
19097	57
19099	42
19101	47
19103	52
19105	54
19107	47
19109	30
19111	48
19113	47
19115	55
19117	42
19119	25
19121	41
19123	45
19125	42
19127	39
19129	35
19131	31
19133	30
19135	44
19137	36
19139	55
19141	27
19143	26
19145	36
19147	29
19149	27
19151	31
19153	42
19155	34
19157	44
19159	38
19161	33
19163	62
19165	33
19167	26
19169	39
19171	42
19173	38
19175	38
19177	46
19179	47
19181	42
19183	51
19185	42
19187	33
19189	29
19191	32
19193	30
19195	30
19197	34
20001	37
20003	40
20005	37
20007	24
20009	24
20011	37
20013	34
20015	32
20017	32
20019	32
20021	35
20023	19
20025	21
20027	30
20029	28
20031	37
20033	22
20035	31
20037	35
20039	21
20041	30
20043	35
20045	44
20047	23
20049	32
20051	23
20053	26
20055	20
20057	21
20059	43
20061	32
20063	20
20065	22
20067	19
20069	20
20071	18
20073	33
20075	18
20077	29
20079	31
20081	19
20083	21
20085	35
20087	37
20089	27
20091	53
20093	19
20095	26
20097	23
20099	35
20101	20
20103	42
20105	26
20107	40
20109	19
20111	34
20113	29
20115	31
20117	32
20119	19
20121	46
20123	26
20125	34
20127	32
20129	17
20131	33
20133	35
20135	21
20137	22
20139	39
20141	24
20143	28
20145	23
20147	23
20149	34
20151	24
20153	19
20155	29
20157	28
20159	26
20161	31
20163	23
20165	23
20167	24
20169	29
20171	19
20173	32
20175	18
20177	36
20179	20
20181	18
20183	25
20185	24
20187	17
20189	18
20191	31
20193	19
20195	21
20197	34
20199	18
20201	30
20203	19
20205	34
20207	35
20209	44
21001	36
21003	36
21005	44
21007	37
21009	37
21011	39
21013	36
21015	69
21017	41
21019	43
21021	39
21023	46
21025	34
21027	51
21029	46
21031	40
21033	39
21035	39
21037	53
21039	37
21041	55
21043	42
21045	36
21047	39
21049	38
21051	34
21053	35
21055	41
21057	35
21059	45
21061	40
21063	39
21065	34
21067	39
21069	42
21071	34
21073	44
21075	36
21077	62
21079	37
21081	49
21083	38
21085	40
21087	38
21089	44
21091	49
21093	43
21095	36
21097	44
21099	38
21101	44
21103	47
21105	36
21107	40
21109	34
21111	51
21113	39
21115	36
21117	58
21119	34
21121	35
21123	41
21125	34
21127	38
21129	33
21131	35
21133	36
21135	44
21137	36
21139	39
21141	39
21143	39
21145	39
21147	32
21149	41
21151	35
21153	35
21155	39
21157	39
21159	35
21161	45
21163	57
21165	34
21167	41
21169	35
21171	35
21173	37
21175	36
21177	39
21179	42
21181	41
21183	41
21185	51
21187	49
21189	33
21191	49
21193	34
21195	33
21197	34
21199	35
21201	41
21203	35
21205	38
21207	35
21209	42
21211	47
21213	38
21215	44
21217	38
21219	39
21221	39
21223	55
21225	43
21227	38
21229	41
21231	34
21233	41
21235	35
21237	34
21239	43
22001	27
22003	27
22005	32
