id	hyliuantot		
01001	16		
01003	16		
01005	13		
01007	19		
01009	30		 
01011	13		
01013	13		
01015	27		
01017	20		
01019	27		
01021	18		
01023	13		
01025	13		
01027	23		
01029	25		
01031	13		
01033	27		
01035	13		
01037	21		
01039	13		
01041	13		
01043	29		
01045	14		
01047	15		
01049	28		
01051	20		
01053	14		
01055	28		
01057	19		
01059	24		
01061	14		
01063	16		
01065	14		
01067	13		
01069	14		
01071	26		
01073	41		
01075	19		
01077	27		
01079	25		
01081	20		
01083	29		
01085	14		
01087	16		
01089	30		
01091	13		
01093	22		
01095	30		
01097	25		
01099	13		
01101	23		
01103	29		
01105	15		
01107	17		
01109	14		
01111	21		
01113	19		
01115	27		
01117	26		
01119	14		
01121	27		
01123	20		
01125	20		
01127	24		
01129	14		
01131	13		
01133	23		
05001	16		
05003	14		
05005	20		
05007	25		
05009	19		
05011	14		
05013	14		
05015	20		
05017	16		
05019	15		
05021	22		
05023	18		
05025	14		
05027	14		
05029	19		
05031	28		
05033	20		
05035	23		
05037	20		
05039	16		
05041	16		
05043	15		
05045	20		
05047	19		
05049	18		
05051	18		
05053	16		
05055	22		
05057	14		
05059	19		
05061	14		
05063	18		
05065	17		
05067	19		
05069	17		
05071	17		
05073	15		
05075	20		
05077	20		
05079	16		
05081	14		
05083	16		
05085	20		
05087	18		
05089	19		
05091	15		
05093	23		
05095	18		
05097	15		
05099	14		
05101	17		
05103	14		
05105	17		
05107	18		
05109	14		
05111	20		
05113	15		
05115	17		
05117	19		
05119	29		
05121	19		
05123	21		
05125	20		
05127	15		
05129	17		
05131	21		
05133	14		
05135	18		
05137	17		
05139	14		
05141	17		
05143	24		
05145	19		
05147	19		
05149	16		
09001	55		
09003	33		
09005	43		
09007	12		
09009	13		
09011	11		
09013	23		
09015	30		
10001	10		
10003	19		
10005	8		
11001	33		
12001	16		
12003	12		
12005	10		
12007	13		
12009	33		
12011	13		
12013	8		
12015	19		
12017	20		
12019	31		
12021	14		
12023	10		
12027	21		
12029	7		
12031	32		
12033	16		
12035	27		
12037	6		
12039	10		
12041	9		
12043	16		
12045	8		
12047	10		
12049	25		
12051	13		
12053	26		
12055	21		
12057	62		
12059	12		
12061	27		
12063	11		
12065	8		
12067	6		
12069	37		
12071	19		
12073	11		
12075	7		
12077	7		
12079	8		
12081	28		
12083	26		
12085	37		
12086	12		
12087	5		
12089	21		
12091	13		
12093	18		
12095	64		
12097	33		
12099	18		
12101	37		
12103	49		
12105	48		
12107	23		
12109	24		
12111	30		
12113	14		
12115	23		
12117	43		
12119	49		
12121	10		
12123	6		
12125	12		
12127	49		
12129	6		
12131	12		
12133	10		
13001	14		
13003	12		
13005	13		
13007	12		
13009	17		
13011	26		
13013	29		
