id	hyminh3uan
01001	19
01003	18
01005	15
01007	23
01009	33
01011	15
01013	15
01015	31
01017	24
01019	30
01021	21
01023	15
01025	15
01027	28
01029	30
01031	15
01033	27
01035	15
01037	25
01039	14
01041	15
01043	30
01045	15
01047	17
01049	30
01051	22
01053	16
01055	31
01057	22
01059	26
01061	14
01063	18
01065	16
01067	14
01069	14
01071	29
01073	41
01075	22
01077	28
01079	27
01081	22
01083	30
01085	16
01087	19
01089	31
01091	15
01093	24
01095	31
01097	24
01099	15
01101	18
01103	31
01105	17
01107	20
01109	16
01111	26
01113	19
01115	32
01117	31
01119	16
01121	30
01123	24
01125	24
01127	26
01129	16
01131	15
01133	27
05001	17
05003	15
05005	21
05007	23
05009	21
05011	15
05013	16
05015	21
05017	15
05019	16
05021	22
05023	20
05025	16
05027	15
05029	20
05031	22
05033	21
05035	23
05037	21
05039	18
05041	16
05043	16
05045	20
05047	19
05049	21
05051	19
05053	18
05055	22
05057	15
05059	18
05061	14
05063	20
05065	20
05067	20
05069	18
05071	19
05073	15
05075	21
05077	20
05079	17
05081	14
05083	17
05085	20
05087	20
05089	20
05091	15
05093	24
05095	18
05097	16
05099	15
05101	20
05103	15
05105	19
05107	18
05109	15
05111	21
05113	16
05115	19
05117	19
05119	25
05121	22
05123	20
05125	21
05127	16
05129	20
05131	18
05133	14
05135	21
05137	20
05139	15
05141	20
05143	22
05145	20
05147	19
05149	17
09001	31
09003	31
09005	58
09007	15
09009	14
09011	14
09013	32
09015	42
10001	10
10003	21
10005	5
11001	17
12001	18
12003	14
12005	10
12007	14
12009	36
12011	15
12013	9
12015	21
12017	20
12019	26
12021	15
12023	12
12027	25
12029	7
12031	37
12033	18
12035	32
12037	6
12039	10
12041	9
12043	18
12045	8
12047	12
12049	29
12051	15
12053	27
12055	25
12057	67
12059	13
12061	28
12063	11
12065	9
12067	6
12069	44
12071	21
12073	12
12075	7
12077	8
12079	9
12081	29
12083	30
12085	25
12086	12
12087	6
12089	24
12091	15
12093	22
12095	74
12097	41
12099	20
12101	36
12103	41
12105	53
12107	26
12109	29
12111	25
12113	16
12115	26
12117	54
12119	39
12121	10
12123	6
12125	14
12127	45
12129	6
12131	13
12133	11
13001	16
13003	13
13005	14
13007	13
13009	19
13011	28
13013	31
13015	40
13017	14
13019	14
13021	22
13023	16
13025	15
13027	12
13029	20
13031	16
13033	16
13035	24
13037	13
13039	21
13043	16
13045	31
13047	32
13049	14
13051	28
13053	18
13055	31
13057	40
13059	23
13061	15
13063	52
13065	13
13067	79
13069	14
13071	13
13073	20
13075	14
13077	31
13079	20
13081	15
13083	31
13085	34
13087	12
13089	74
13091	15
13093	16
13095	14
13097	48
13099	13
13101	12
13103	18
13105	19
13107	16
13109	16
13111	25
13113	37
13115	32
13117	48
13119	25
13121	86
13123	28
13125	18
13127	17
13129	32
13131	12
13133	20
13135	53
13137	27
13139	37
13141	18
13143	33
13145	23
13147	23
13149	26
13151	31
13153	18
13155	14
13157	28
13159	22
13161	14
13163	17
13165	16
13167	17
13169	20
13171	24
13173	14
13175	15
13177	15
13179	19
13181	19
13183	17
13185	13
13187	34
13189	19
13191	17
13193	16
13195	24
13197	16
13199	23
13201	13
13205	13
13207	22
13209	15
13211	20
13213	30
13215	23
13217	27
13219	23
13221	19
13223	45
13225	20
13227	33
13229	15
13231	25
13233	33
13235	15
13237	20
13239	15
13241	27
13243	14
13245	23
13247	35
13249	16
13251	16
13253	12
13255	27
13257	25
13259	16
13261	16
13263	21
13265	18
13267	16
13269	18
13271	15
13273	14
13275	12
13277	14
13279	15
13281	26
13283	15
13285	25
13287	14
13289	18
13291	25
13293	22
13295	31
13297	29
13299	14
13301	18
13303	17
13305	15
13307	16
13309	15
13311	28
13313	31
13315	15
13317	18
13319	18
13321	14
17001	31
17003	25
17005	31
17007	62
17009	32
17011	50
17013	34
17015	46
17017	34
17019	36
17021	33
17023	35
17025	31
17027	29
17029	36
17031	52
17033	35
17035	35
17037	78
17039	36
17041	36
17043	82
17045	37
17047	31
17049	33
17051	31
17053	37
17055	28
17057	36
17059	28
17061	32
17063	54
17065	28
17067	32
17069	27
17071	36
17073	44
17075	37
17077	27
17079	34
17081	29
17083	33
17085	35
17087	26
17089	91
17091	39
17093	67
17095	41
17097	28
17099	54
17101	33
17103	60
17105	41
17107	36
17109	33
17111	56
17113	37
17115	35
17117	32
17119	31
17121	31
17123	44
17125	35
17127	26
17129	35
17131	37
17133	30
17135	32
17137	33
17139	34
17141	58
17143	41
17145	28
17147	36
17149	31
17151	27
17153	25
17155	44
17157	28
17159	33
17161	41
17163	30
17165	28
17167	33
17169	33
17171	32
17173	32
17175	43
17177	48
17179	38
17181	26
17183	37
17185	31
17187	36
17189	28
17191	30
17193	30
17195	48
17197	50
17199	28
17201	53
17203	40
18001	39
18003	38
18005	43
18007	37
18009	41
18011	44
18013	43
18015	38
18017	38
18019	36
18021	43
18023	40
18025	38
