id	lyhiuantot		
01001	76		
01003	75		
01005	62		
01007	92		
01009	137		 
01011	62		
01013	62		
01015	125		
01017	94		
01019	125		
01021	86		
01023	62		
01025	61		
01027	110		
01029	120		
01031	60		
01033	115		
01035	61		
01037	99		
01039	58		
01041	62		
01043	126		
01045	62		
01047	70		
01049	126		
01051	88		
01053	66		
01055	128		
01057	90		
01059	108		
01061	59		
01063	73		
01065	67		
01067	58		
01069	58		
01071	120		
01073	171		
01075	90		
01077	118		
01079	113		
01081	91		
01083	127		
01085	65		
01087	76		
01089	131		
01091	62		
01093	100		
01095	131		
01097	100		
01099	61		
01101	83		
01103	128		
01105	69		
01107	83		
01109	66		
01111	102		
01113	80		
01115	128		
01117	122		
01119	66		
01121	123		
01123	95		
01125	94		
01127	107		
01129	65		
01131	63		
01133	110		
05001	71		
05003	64		
05005	88		
05007	105		
05009	87		
05011	64		
05013	66		
05015	90		
05017	69		
05019	68		
05021	95		
05023	83		
05025	67		
05027	65		
05029	84		
05031	104		
05033	90		
05035	100		
05037	89		
05039	75		
05041	69		
05043	66		
05045	87		
05047	82		
05049	86		
05051	79		
05053	75		
05055	96		
05057	64		
05059	81		
05061	61		
05063	85		
05065	82		
05067	86		
05069	76		
05071	78		
05073	66		
05075	90		
05077	86		
05079	71		
05081	64		
05083	74		
05085	86		
05087	83		
05089	87		
05091	67		
05093	102		
05095	78		
05097	68		
05099	65		
05101	82		
05103	64		
05105	78		
05107	79		
05109	65		
05111	89		
05113	67		
05115	79		
05117	82		
05119	116		
05121	90		
05123	89		
05125	89		
05127	67		
05129	82		
05131	86		
05133	62		
05135	86		
05137	82		
05139	65		
05141	81		
05143	100		
05145	86		
05147	82		
05149	74		
09001	170		
09003	135		
09005	219		
09007	59		
09009	60		
09011	57		
09013	121		
09015	157		
10001	44		
10003	86		
10005	29		
11001	97		
12001	72		
12003	58		
12005	44		
12007	58		
12009	144		
12011	61		
12013	38		
12015	86		
12017	84		
12019	114		
12021	61		
12023	48		
12027	97		
12029	32		
12031	144		
12033	75		
12035	124		
12037	28		
12039	44		
12041	40		
12043	73		
12045	34		
12047	48		
12049	115		
12051	60		
12053	109		
12055	98		
12057	268		
12059	55		
12061	115		
12063	49		
12065	38		
12067	28		
12069	171		
12071	86		
12073	51		
12075	32		
12077	35		
12079	38		
12081	119		
12083	117		
12085	120		
12086	52		
12087	26		
12089	96		
12091	61		
12093	86		
12095	287		
12097	157		
12099	79		
12101	150		
12103	182		
12105	209		
12107	104		
12109	114		
12111	110		
12113	65		
12115	103		
12117	204		
12119	175		
12121	43		
12123	28		
12125	58		
12127	187		
12129	28		
12131	55		
12133	48		
13001	63		
13003	54		
13005	59		
13007	54		
13009	77		
13011	116		
13013	129		
13015	160		
13017	58		
13019	57		
13021	89		
13023	67		
13025	61		
13027	52		
13029	80		
13031	68		
13033	67		
13035	95		
13037	54		
13039	82		
13043	64		
13045	127		
13047	134		
13049	57		
13051	114		
13053	74		
13055	125		
13057	161		
13059	99		
13061	60		
13063	211		
13065	54		
13067	317		
13069	59		
13071	57		
13073	80		
13075	58		
13077	123		
13079	79		
13081	64		
13083	126		
13085	137		
13087	49		
13089	297		
13091	61		
13093	65		
13095	61		
13097	191		
13099	54		
13101	47		
13103	72		
13105	80		
13107	64		
13109	64		
13111	103		
13113	158		
13115	133		
13117	200		
13119	105		
13121	346		
13123	114		
13125	72		
13127	70		
13129	132		
13131	53		
13133	79		
13135	217		
13137	112		
13139	156		
13141	72		
13143	130		
13145	92		
13147	99		
13149	103		
13151	129		
13153	82		
13155	60		
13157	115		
13159	87		
13161	59		
13163	70		
13165	64		
13167	68		
13169	80		
13171	98		
13173	57		
13175	63		
13177	62		
13179	77		
13181	78		
13183	67		
13185	58		
13187	137		
13189	77		
13191	70		
13193	65		
13195	100		
13197	66		
13199	92		
13201	54		
13205	54		
13207	86		
13209	63		
13211	80		
13213	123		
13215	92		
13217	111		
13219	108		
13221	80		
13223	178		
13225	90		
13227	134		
13229	62		
13231	107		
13233	135		
13235	63		
13237	79		
13239	59		
13241	109		
13243	58		
13245	115		
13247	142		
13249	66		
13251	64		
13253	50		
13255	113		
13257	105		
13259	66		
13261	65		
13263	84		
13265	74		
13267	64		
13269	71		
13271	60		
13273	59		
13275	52		
13277	61		
13279	63		
13281	106		
13283	63		
13285	100		
13287	61		
13289	71		
13291	105		
13293	90		
13295	126		
13297	122		
13299	59		
13301	72		
13303	68		
13305	62		
13307	67		
13309	61		
13311	115		
13313	132		
13315	63		
13317	74		
13319	74		
13321	61		
17001	128		
17003	103		
17005	127		
17007	248		
17009	131		
17011	201		
17013	136		
17015	185		
17017	138		
17019	150		
17021	138		
17023	143		
17025	128		
17027	121		
17029	151		
17031	211		
17033	144		
17035	142		
17037	311		
17039	146		
17041	147		
17043	371		
17045	151		
17047	128		
17049	134		
17051	125		
17053	149		
17055	117		
17057	148		
17059	117		
17061	130		
17063	219		
17065	117		
17067	130		
17069	110		
17071	145		
17073	179		
17075	152		
17077	111		
17079	137		
17081	121		
17083	138		
17085	142		
17087	107		
17089	382		
17091	164		
17093	270		
17095	167		
17097	111		
17099	218		
17101	134		
17103	238		
17105	166		
17107	146		
17109	135		
17111	233		
17113	152		
17115	148		
17117	131		
17119	128		
17121	125		
17123	177		
17125	143		
17127	108		
17129	142		
17131	150		
17133	129		
17135	131		
17137	136		
17139	140		
17141	230		
17143	170		
17145	114		
17147	146		
17149	127		
17151	109		
17153	104		
17155	176		
17157	115		
17159	134		
17161	174		
17163	130		
17165	116		
17167	139		
17169	134		
17171	134		
17173	133		
17175	175		
17177	194		
17179	157		
17181	107		
17183	152		
