id	lyminh3ur
01001	78
01003	77
01005	63
01007	96
01009	139
01011	63
01013	63
01015	128
01017	98
01019	127
01021	88
01023	64
01025	64
01027	115
01029	126
01031	61
01033	111
01035	64
01037	104
01039	59
01041	63
01043	124
01045	62
01047	71
01049	125
01051	90
01053	69
01055	130
01057	93
01059	108
01061	57
01063	74
01065	68
01067	58
01069	57
01071	122
01073	171
01075	93
01077	115
01079	113
01081	94
01083	125
01085	66
01087	78
01089	130
01091	63
01093	102
01095	129
01097	98
01099	64
01101	74
01103	127
01105	71
01107	85
01109	67
01111	106
01113	80
01115	133
01117	129
01119	67
01121	126
01123	99
01125	98
01127	108
01129	68
01131	64
01133	113
05001	69
05003	63
05005	87
05007	96
05009	87
05011	64
05013	66
05015	88
05017	64
05019	67
05021	93
05023	83
05025	67
05027	64
05029	81
05031	92
05033	88
05035	97
05037	87
05039	75
05041	67
05043	65
05045	84
05047	78
05049	88
05051	78
05053	75
05055	93
05057	62
05059	76
05061	59
05063	85
05065	84
05067	82
05069	73
05071	77
05073	64
05075	88
05077	81
05079	69
05081	60
05083	71
05085	81
05087	83
05089	85
05091	64
05093	99
05095	76
05097	67
05099	64
05101	82
05103	64
05105	77
05107	76
05109	63
05111	87
05113	65
05115	79
05117	79
05119	106
05121	90
05123	85
05125	89
05127	65
05129	83
05131	76
05133	60
05135	88
05137	84
05139	64
05141	82
05143	93
05145	83
05147	79
05149	71
09001	129
09003	131
09005	244
09007	61
09009	60
09011	60
09013	134
09015	176
10001	41
10003	87
10005	21
11001	70
12001	73
12003	60
12005	43
12007	60
12009	151
12011	65
12013	37
12015	89
12017	84
12019	108
12021	62
12023	49
12027	102
12029	30
12031	153
12033	77
12035	132
12037	26
12039	43
12041	38
12043	76
12045	33
12047	49
12049	122
12051	62
12053	112
12055	104
12057	281
12059	54
12061	118
12063	48
12065	38
12067	27
12069	183
12071	89
12073	51
12075	30
12077	34
12079	37
12081	120
12083	123
12085	105
12086	52
12087	25
12089	102
12091	63
12093	90
12095	306
12097	169
12099	82
12101	152
12103	172
12105	220
12107	110
12109	123
12111	103
12113	68
12115	108
12117	225
12119	165
12121	41
12123	27
12125	60
12127	187
12129	27
12131	55
12133	48
13001	65
13003	55
13005	60
13007	53
13009	78
13011	115
13013	128
13015	166
13017	59
13019	57
13021	90
13023	68
13025	64
13027	51
13029	84
13031	68
13033	68
13035	99
13037	53
13039	88
13043	65
13045	130
13047	133
13049	60
13051	119
13053	76
13055	127
13057	168
13059	96
13061	60
13063	217
13065	55
13067	331
13069	59
13071	55
13073	82
13075	57
13077	128
13079	82
13081	63
13083	127
13085	140
13087	48
13089	308
13091	61
13093	65
13095	60
13097	199
13099	53
13101	49
13103	76
13105	81
13107	66
13109	65
13111	105
13113	155
13115	134
13117	202
13119	102
13121	357
13123	117
13125	74
13127	73
13129	133
13131	51
13133	81
13135	221
13137	113
13139	155
13141	74
13143	136
13145	97
13147	94
13149	108
13151	131
13153	77
13155	59
13157	115
13159	91
13161	60
13163	71
13165	65
13167	70
13169	83
13171	100
13173	57
13175	64
13177	61
13179	80
13181	79
13183	70
13185	55
13187	140
13189	79
13191	73
13193	65
13195	99
13197	68
13199	95
13201	53
13205	53
13207	90
13209	64
13211	81
13213	126
13215	97
13217	113
13219	96
13221	81
13223	186
13225	85
13227	138
13229	64
13231	105
13233	139
13235	63
13237	81
13239	60
13241	112
13243	59
13245	96
13247	145
13249	68
13251	65
13253	48
13255	114
13257	104
13259	68
13261	65
13263	88
13265	76
13267	65
13269	74
13271	61
13273	59
13275	51
13277	60
13279	63
13281	108
13283	64
13285	103
13287	60
13289	74
13291	106
13293	93
13295	128
13297	123
13299	60
13301	74
13303	70
13305	64
13307	68
13309	62
13311	117
13313	130
13315	63
13317	76
13319	76
13321	60
17001	131
17003	104
17005	129
17007	257
17009	135
17011	209
17013	140
17015	192
17017	141
17019	151
17021	139
17023	147
17025	131
17027	122
17029	148
17031	219
17033	147
17035	144
17037	326
17039	148
17041	150
17043	343
17045	155
17047	129
17049	136
17051	128
17053	153
17055	116
17057	152
17059	118
17061	133
17063	226
17065	117
17067	133
17069	113
17071	149
17073	185
17075	155
17077	113
17079	140
17081	121
17083	140
17085	145
17087	109
17089	380
17091	163
17093	279
17095	169
17097	116
17099	226
17101	137
17103	250
17105	171
17107	148
17109	138
17111	235
17113	156
17115	146
17117	134
17119	128
17121	128
17123	183
17125	145
17127	107
17129	145
17131	153
17133	127
17135	133
17137	137
17139	141
17141	240
17143	172
17145	115
17147	148
17149	131
17151	112
17153	104
17155	183
17157	116
17159	137
17161	171
17163	124
17165	117
17167	137
17169	138
17171	135
17173	135
17175	180
17177	199
17179	157
17181	108
17183	153
17185	129
17187	152
17189	118
17191	124
17193	123
17195	198
17197	210
17199	115
17201	222
17203	168
18001	163
18003	159
18005	180
18007	153
18009	172
18011	182
18013	179
18015	159
18017	158
18019	152
18021	181
18023	168
18025	160
18027	150
18029	219
18031	202
18033	165
18035	181
18037	143
18039	163
18041	207
18043	158
18045	163
18047	210
18049	158
18051	135
18053	165
18055	160
18057	173
18059	186
18061	164
18063	203
18065	190
18067	165
18069	161
18071	166
18073	153
18075	177
18077	174
18079	182
18081	187
18083	140
18085	161
18087	170
18089	163
18091	150
18093	159
18095	174
18097	195
18099	160
18101	156
18103	160
18105	178
18107	172
18109	192
18111	155
18113	161
18115	201
18117	158
18119	179
18121	172
18123	145
18125	138
18127	143
18129	125
18131	156
18133	196
18135	187
18137	204
18139	201
18141	163
18143	158
18145	192
18147	131
18149	157
18151	172
18153	153
18155	172
18157	162
18159	168
18161	207
18163	130
18165	160
18167	169
18169	160
18171	153
18173	133
18175	159
18177	203
18179	162
18181	153
18183	161
19001	106
19003	104
19005	94
19007	121
19009	96
19011	131
19013	116
19015	104
19017	94
19019	120
19021	85
19023	101
19025	97
19027	91
19029	98
19031	153
19033	88
19035	81
19037	94
19039	110
19041	79
19043	108
19045	167
19047	86
19049	111
19051	127
19053	110
19055	123
19057	145
19059	75
19061	138
19063	75
19065	101
19067	94
19069	101
19071	96
19073	97
19075	108
19077	103
19079	94
19081	86
19083	101
19085	90
19087	142
19089	86
19091	89
19093	86
19095	131
19097	159
19099	118
19101	132
19103	143
19105	151
19107	132
19109	82
19111	134
19113	132
19115	153
19117	115
19119	69
19121	113
19123	125
19125	117
19127	109
19129	96
19131	86
19133	83
19135	122
19137	99
19139	154
19141	76
19143	72
19145	99
19147	79
19149	76
19151	85
19153	115
19155	94
19157	123
19159	104
19161	91
19163	172
19165	90
19167	73
19169	109
19171	118
19173	104
19175	104
19177	127
19179	132
19181	116
19183	142
19185	115
19187	92
19189	79
19191	89
19193	83
19195	82
19197	94
20001	101
20003	110
20005	104
20007	66
20009	67
20011	101
20013	95
20015	88
20017	89
20019	89
20021	97
20023	51
20025	57
20027	83
20029	78
20031	103
20033	61
20035	87
20037	97
20039	57
20041	84
20043	98
20045	122
20047	63
20049	89
20051	63
20053	72
20055	55
20057	58
20059	119
20061	89
20063	56
20065	60
20067	52
20069	55
20071	49
20073	92
20075	49
20077	80
20079	86
20081	52
20083	59
20085	98
20087	103
20089	74
20091	147
20093	52
20095	72
20097	63
20099	97
20101	56
20103	117
20105	72
20107	110
20109	53
20111	95
20113	82
20115	86
20117	89
20119	54
20121	127
20123	72
20125	93
20127	90
20129	48
20131	93
20133	97
20135	59
20137	60
20139	108
20141	68
20143	77
20145	63
20147	64
20149	93
20151	67
20153	54
20155	81
20157	79
20159	72
20161	86
20163	64
20165	63
20167	67
20169	81
20171	52
20173	88
20175	51
20177	100
20179	57
20181	51
20183	69
20185	67
20187	49
20189	51
20191	86
20193	54
20195	60
20197	95
20199	50
20201	83
20203	52
20205	93
20207	97
20209	121
21001	100
21003	100
21005	122
21007	104
21009	102
21011	108
21013	101
21015	192
21017	113
21019	120
21021	109
21023	127
21025	94
21027	142
21029	129
21031	111
21033	109
21035	107
21037	148
21039	104
21041	154
21043	117
21045	101
21047	109
21049	106
21051	94
21053	97
21055	113
21057	97
21059	125
21061	111
21063	108
21065	95
21067	108
21069	116
21071	93
21073	121
21075	101
21077	172
21079	103
21081	135
21083	107
21085	111
21087	104
21089	121
21091	135
21093	120
21095	100
21097	122
21099	106
21101	121
21103	131
21105	101
21107	112
21109	95
21111	142
21113	108
21115	99
21117	160
21119	95
21121	97
21123	114
21125	96
21127	107
21129	93
21131	96
21133	100
21135	123
21137	101
21139	109
21141	109
21143	109
21145	107
