id	hyhiuantot
01001	36
01003	36
01005	30
01007	44
01009	65
01011	30
01013	30
01015	60
01017	45
01019	60
01021	41
01023	30
01025	29
01027	53
01029	57
01031	29
01033	56
01035	29
01037	48
01039	28
01041	30
01043	61
01045	30
01047	34
01049	61
01051	43
01053	32
01055	62
01057	43
01059	52
01061	29
01063	35
01065	32
01067	28
01069	29
01071	57
01073	84
01075	43
01077	57
01079	54
01081	44
01083	61
01085	31
01087	37
01089	63
01091	30
01093	48
01095	63
01097	50
01099	29
01101	42
01103	62
01105	33
01107	39
01109	32
01111	49
01113	39
01115	61
01117	58
01119	32
01121	59
01123	46
01125	45
01127	52
01129	31
01131	30
01133	53
05001	34
05003	30
05005	43
05007	51
05009	41
05011	31
05013	32
05015	43
05017	33
05019	33
05021	46
05023	40
05025	32
05027	32
05029	40
05031	52
05033	43
05035	48
05037	43
05039	36
05041	33
05043	32
05045	42
05047	39
05049	41
05051	38
05053	36
05055	46
05057	31
05059	40
05061	30
05063	41
05065	39
05067	41
05069	36
05071	37
05073	32
05075	43
05077	42
05079	34
05081	31
05083	35
05085	41
05087	40
05089	42
05091	32
05093	49
05095	38
05097	33
05099	31
05101	39
05103	31
05105	38
05107	38
05109	31
05111	42
05113	32
05115	38
05117	39
05119	57
05121	43
05123	43
05125	43
05127	32
05129	39
05131	42
05133	30
05135	41
05137	39
05139	31
05141	39
05143	48
05145	41
05147	39
05149	35
09001	89
09003	67
09005	103
09007	28
09009	29
09011	27
09013	57
09015	74
10001	21
10003	41
10005	15
11001	52
12001	35
12003	28
12005	22
12007	28
12009	70
12011	29
12013	18
12015	42
12017	42
12019	59
12021	30
12023	23
12027	47
12029	15
12031	70
12033	36
12035	60
12037	13
12039	21
12041	19
12043	35
12045	17
12047	23
12049	55
12051	29
12053	54
12055	47
12057	131
12059	27
12061	56
12063	24
12065	18
12067	13
12069	82
12071	42
12073	25
12075	16
12077	17
12079	18
12081	58
12083	57
12085	63
12086	26
12087	12
12089	46
12091	29
12093	41
12095	139
12097	75
12099	39
12101	75
12103	92
12105	102
12107	50
12109	55
12111	56
12113	31
12115	50
12117	98
12119	91
12121	21
12123	14
12125	28
12127	95
12129	13
12131	26
12133	23
13001	31
13003	26
13005	29
13007	26
13009	37
13011	56
13013	62
13015	77
13017	28
13019	28
13021	43
13023	33
13025	29
13027	25
13029	39
13031	33
13033	32
13035	46
13037	26
13039	39
13043	31
13045	61
13047	65
13049	27
13051	55
13053	36
13055	60
13057	77
13059	48
13061	29
13063	103
13065	26
13067	152
13069	28
13071	28
13073	39
13075	28
13077	59
13079	38
13081	31
13083	61
13085	66
13087	24
13089	143
13091	29
13093	31
13095	30
13097	92
13099	26
13101	23
13103	35
13105	39
13107	31
13109	31
13111	50
13113	78
13115	64
13117	96
13119	51
13121	167
13123	55
13125	35
13127	34
13129	63
13131	26
13133	38
13135	105
13137	54
13139	75
13141	34
13143	62
13145	44
13147	48
13149	49
13151	63
13153	41
13155	29
13157	55
13159	42
13161	29
13163	34
13165	31
13167	33
13169	39
13171	47
13173	28
13175	30
13177	30
13179	37
13181	38
13183	33
13185	29
13187	66
13189	37
13191	33
13193	31
13195	48
13197	32
13199	44
13201	26
13205	26
13207	41
13209	30
13211	38
13213	59
13215	45
13217	54
13219	54
13221	38
13223	85
13225	45
13227	64
13229	30
13231	53
13233	65
13235	30
13237	38
13239	28
13241	53
13243	28
13245	60
13247	68
13249	32
13251	31
13253	24
13255	55
13257	51
13259	32
13261	31
13263	40
13265	35
13267	31
13269	34
13271	29
13273	28
13275	26
13277	30
13279	31
13281	51
13283	30
13285	48
13287	29
13289	34
13291	51
13293	43
13295	61
13297	59
13299	29
13301	35
13303	33
13305	30
13307	32
13309	29
13311	55
13313	64
13315	30
13317	36
13319	36
13321	29
17001	60
17003	49
17005	60
17007	116
17009	62
17011	94
17013	64
17015	87
17017	65
17019	71
17021	65
17023	68
17025	61
17027	57
17029	72
17031	99
17033	68
17035	67
17037	145
17039	69
17041	69
17043	179
17045	71
17047	60
17049	63
17051	59
17053	70
17055	56
17057	69
17059	56
17061	61
17063	102
17065	55
17067	61
17069	52
17071	68
17073	84
17075	71
17077	53
17079	64
17081	58
17083	65
17085	66
17087	51
17089	180
17091	78
17093	126
17095	79
17097	52
17099	102
17101	63
17103	111
17105	78
17107	69
17109	64
17111	110
17113	71
17115	70
17117	62
17119	61
17121	59
17123	83
17125	67
17127	52
17129	67
17131	70
17133	62
17135	62
17137	64
17139	66
17141	107
17143	80
17145	54
17147	69
17149	60
17151	52
17153	49
17155	82
17157	55
17159	63
17161	83
17163	63
17165	55
17167	66
17169	63
17171	63
17173	62
17175	82
17177	91
17179	74
17181	51
17183	72
17185	60
17187	70
17189	55
17191	58
17193	58
17195	89
17197	101
17199	56
17201	121
17203	76
18001	75
18003	74
18005	85
18007	71
18009	79
18011	87
18013	79
18015	73
18017	75
18019	69
18021	83
18023	78
18025	70
18027	69
18029	100
18031	91
18033	75
18035	83
18037	66
18039	75
18041	95
18043	86
18045	75
18047	94
18049	73
18051	63
18053	78
18055	72
18057	83
18059	88
18061	76
18063	102
18065	88
18067	81
18069	75
18071	75
18073	70
18075	81
18077	77
18079	82
18081	89
18083	66
18085	76
18087	76
18089	81
18091	70
18093	72
18095	86
18097	119
18099	74
18101	69
18103	75
18105	81
18107	80
18109	88
18111	71
18113	75
18115	91
18117	71
18119	81
18121	78
18123	64
18125	63
18127	71
18129	62
18131	71
18133	90
18135	86
18137	91
18139	92
18141	85
18143	71
18145	88
18147	61
18149	72
18151	77
18153	70
18155	77
18157	78
18159	79
18161	96
18163	71
18165	73
18167	80
18169	75
18171	70
18173	61
18175	71
18177	99
18179	75
18181	70
18183	77
19001	50
19003	49
19005	44
19007	57
19009	46
19011	63
19013	56
19015	51
19017	45
19019	56
19021	41
19023	49
19025	47
19027	44
19029	47
19031	71
19033	44
19035	40
19037	45
19039	52
19041	39
19043	51
19045	77
19047	42
19049	55
19051	59
19053	52
19055	58
19057	68
19059	37
19061	63
19063	37
19065	47
19067	45
19069	48
19071	46
19073	47
19075	52
