id	hyliurtot
01001	24
01003	24
01005	20
01007	29
01009	44
01011	20
01013	19
01015	40
01017	30
01019	40
01021	28
01023	19
01025	19
01027	35
01029	38
01031	19
01033	39
01035	19
01037	32
01039	19
01041	20
01043	42
01045	20
01047	22
01049	41
01051	29
01053	21
01055	42
01057	29
01059	35
01061	19
01063	23
01065	21
01067	19
01069	19
01071	39
01073	59
01075	29
01077	39
01079	37
01081	30
01083	42
01085	21
01087	24
01089	43
01091	20
01093	32
01095	43
01097	35
01099	19
01101	30
01103	42
01105	22
01107	26
01109	21
01111	32
01113	27
01115	41
01117	39
01119	21
01121	40
01123	30
01125	30
01127	35
01129	21
01131	20
01133	35
05001	23
05003	20
05005	29
05007	35
05009	27
05011	20
05013	21
05015	29
05017	23
05019	22
05021	31
05023	27
05025	21
05027	21
05029	27
05031	37
05033	29
05035	33
05037	29
05039	24
05041	22
05043	21
05045	28
05047	26
05049	27
05051	25
05053	24
05055	31
05057	21
05059	27
05061	20
05063	27
05065	26
05067	28
05069	25
05071	25
05073	21
05075	29
05077	28
05079	23
05081	21
05083	24
05085	28
05087	26
05089	28
05091	22
05093	33
05095	25
05097	22
05099	21
05101	26
05103	20
05105	25
05107	25
05109	21
05111	29
05113	22
05115	25
05117	27
05119	40
05121	29
05123	29
05125	29
05127	21
05129	26
05131	29
05133	20
05135	27
05137	26
05139	21
05141	26
05143	33
05145	28
05147	27
05149	24
09001	69
09003	47
09005	68
09007	18
09009	19
09011	18
09013	37
09015	48
10001	14
10003	28
10005	10
11001	40
12001	24
12003	18
12005	15
12007	19
12009	48
12011	19
12013	12
12015	28
12017	29
12019	42
12021	20
12023	15
12027	32
12029	10
12031	47
12033	24
12035	41
12037	8
12039	14
12041	13
12043	24
12045	11
12047	15
12049	38
12051	19
12053	37
12055	31
12057	91
12059	18
12061	39
12063	16
12065	12
12067	9
12069	56
12071	28
12073	16
12075	10
12077	11
12079	12
12081	41
12083	39
12085	48
12086	18
12087	8
12089	31
12091	20
12093	28
12095	96
12097	51
12099	26
12101	53
12103	67
12105	71
12107	34
12109	37
12111	41
12113	21
12115	34
12117	66
12119	66
12121	14
12123	9
12125	19
12127	68
12129	9
12131	17
12133	15
13001	20
13003	17
13005	19
13007	17
13009	25
13011	38
13013	42
13015	52
13017	19
13019	18
13021	29
13023	22
13025	19
13027	17
13029	26
13031	22
13033	21
13035	31
13037	17
13039	26
13043	20
13045	41
13047	44
13049	18
13051	38
13053	24
13055	40
13057	52
13059	33
13061	19
13063	71
13065	17
13067	104
13069	19
13071	19
13073	26
13075	19
13077	40
13079	25
13081	21
13083	41
13085	44
13087	16
13089	98
13091	19
13093	21
13095	20
13097	63
13099	17
13101	15
13103	23
13105	26
13107	20
13109	20
13111	34
13113	55
13115	44
13117	65
13119	34
13121	115
13123	37
13125	23
13127	22
13129	43
13131	17
13133	25
13135	72
13137	36
13139	51
13141	23
13143	42
13145	29
13147	33
13149	33
13151	43
13153	29
13155	20
13157	37
13159	28
13161	19
13163	22
13165	20
13167	22
13169	26
13171	32
13173	18
13175	20
13177	20
13179	25
13181	25
13183	22
13185	20
13187	44
13189	25
13191	22
13193	21
13195	32
13197	21
13199	29
13201	17
13205	17
13207	28
13209	20
13211	25
13213	40
13215	30
13217	36
13219	38
13221	25
13223	58
13225	32
13227	43
13229	20
13231	37
13233	44
13235	20
13237	25
13239	19
13241	35
13243	19
13245	44
13247	46
13249	21
13251	20
13253	16
13255	38
13257	35
13259	21
13261	21
13263	27
13265	23
13267	20
13269	23
13271	19
13273	19
13275	17
13277	20
13279	21
