id	lyhinh3uan
01001	63
01003	62
01005	51
01007	77
01009	111
01011	51
01013	51
01015	103
01017	78
01019	101
01021	71
01023	51
01025	51
01027	92
01029	101
01031	48
01033	88
01035	51
01037	83
01039	47
01041	50
01043	99
01045	50
01047	57
01049	100
01051	72
01053	55
01055	104
01057	74
01059	86
01061	46
01063	60
01065	54
01067	46
01069	45
01071	98
01073	137
01075	74
01077	92
01079	91
01081	75
01083	100
01085	53
01087	63
01089	104
01091	51
01093	81
01095	103
01097	78
01099	51
01101	59
01103	102
01105	57
01107	68
01109	54
01111	85
01113	64
01115	106
01117	103
01119	54
01121	101
01123	80
01125	78
01127	86
01129	54
01131	51
01133	91
05001	55
05003	50
05005	69
05007	77
05009	70
05011	51
05013	53
05015	70
05017	51
05019	53
05021	74
05023	67
05025	53
05027	51
05029	65
05031	74
05033	70
05035	78
05037	70
05039	60
05041	53
05043	52
05045	67
05047	62
05049	70
05051	62
05053	60
05055	74
05057	50
05059	61
05061	47
05063	68
05065	67
05067	66
05069	58
05071	62
05073	51
05075	70
05077	65
05079	55
05081	48
05083	57
05085	65
05087	66
05089	68
05091	51
05093	79
05095	61
05097	53
05099	51
05101	66
05103	51
05105	62
05107	61
05109	51
05111	70
05113	52
05115	63
05117	63
05119	85
05121	72
05123	68
05125	71
05127	52
05129	67
05131	61
05133	48
05135	70
05137	67
05139	51
05141	66
05143	74
05145	67
05147	63
05149	57
09001	103
09003	105
09005	195
09007	49
09009	48
09011	48
09013	108
09015	141
10001	33
10003	70
10005	17
11001	56
12001	58
12003	48
12005	34
12007	48
12009	121
12011	52
12013	30
12015	71
12017	67
12019	86
12021	50
12023	39
12027	82
12029	24
12031	122
12033	62
12035	106
12037	21
12039	34
12041	31
12043	61
12045	27
12047	39
12049	97
12051	50
12053	89
12055	83
12057	225
12059	43
12061	94
12063	38
12065	30
12067	22
12069	146
12071	72
12073	41
12075	24
12077	28
12079	30
12081	96
12083	99
12085	84
12086	42
12087	20
12089	81
12091	50
12093	72
12095	245
12097	136
12099	66
12101	121
12103	138
12105	176
12107	88
12109	98
12111	82
12113	54
12115	86
12117	180
12119	132
12121	33
12123	22
12125	48
12127	150
12129	21
12131	44
12133	38
13001	52
13003	44
13005	48
13007	43
13009	62
13011	92
13013	102
13015	133
13017	47
13019	46
13021	72
13023	54
13025	51
13027	41
13029	67
13031	54
13033	55
13035	79
13037	43
13039	70
13043	52
13045	104
13047	107
13049	48
13051	95
13053	61
13055	102
13057	134
13059	77
13061	48
13063	174
13065	44
13067	264
13069	47
13071	44
13073	66
13075	46
13077	102
13079	65
13081	50
13083	102
13085	112
13087	39
13089	247
13091	49
13093	52
13095	48
13097	159
13099	43
13101	39
13103	61
13105	65
13107	52
13109	52
13111	84
13113	124
13115	107
13117	162
13119	82
13121	285
13123	94
13125	59
13127	58
13129	107
13131	41
13133	65
13135	177
13137	90
13139	124
13141	59
13143	108
13145	78
13147	75
13149	86
13151	105
13153	62
13155	47
13157	92
13159	73
13161	48
13163	57
13165	52
13167	56
13169	67
13171	80
13173	46
13175	51
13177	49
13179	64
13181	64
13183	56
13185	44
13187	112
13189	63
13191	58
13193	52
13195	79
13197	55
13199	76
13201	43
13205	42
13207	72
13209	51
13211	65
13213	100
13215	77
13217	90
13219	77
13221	65
13223	149
13225	68
13227	110
13229	51
13231	84
13233	112
13235	50
13237	65
13239	48
13241	90
13243	47
13245	77
13247	116
13249	55
13251	52
13253	39
13255	91
13257	83
13259	54
13261	52
13263	70
13265	61
13267	52
13269	59
13271	49
13273	47
13275	41
13277	48
13279	51
13281	86
13283	51
13285	82
13287	48
13289	59
13291	85
13293	74
13295	102
13297	98
13299	48
13301	59
13303	56
13305	51
13307	55
13309	49
13311	94
13313	104
13315	50
13317	61
13319	61
13321	48
17001	104
17003	83
17005	103
17007	206
17009	108
17011	167
17013	112
17015	154
17017	113
17019	121
17021	111
17023	118
17025	105
17027	97
17029	118
17031	175
17033	118
17035	115
17037	261
17039	118
17041	120
17043	274
17045	124
17047	103
17049	109
17051	102
17053	122
17055	93
17057	122
17059	95
17061	106
17063	181
17065	94
17067	106
17069	91
17071	119
17073	148
17075	124
17077	90
17079	112
17081	97
17083	112
17085	116
17087	87
17089	304
17091	130
17093	224
17095	135
17097	93
17099	181
17101	110
17103	200
17105	137
17107	119
17109	110
17111	188
17113	125
17115	117
17117	107
17119	103
17121	102
17123	147
17125	116
17127	86
17129	116
17131	123
17133	102
17135	107
17137	110
17139	113
17141	192
17143	138
17145	92
17147	118
17149	104
17151	90
17153	83
17155	147
17157	93
17159	110
17161	137
17163	99
17165	94
17167	110
17169	110
17171	108
17173	108
17175	144
17177	159
17179	126
17181	86
17183	123
17185	103
17187	122
17189	95
17191	99
17193	98
17195	159
17197	168
17199	92
17201	178
17203	134
18001	131
18003	127
18005	144
18007	123
18009	138
18011	146
18013	143
18015	127
18017	127
18019	121
18021	144
18023	134
18025	128
18027	120
18029	175
18031	161
18033	132
18035	145
18037	114
18039	130
18041	166
18043	127
18045	131
18047	168
18049	127
18051	108
18053	132
18055	128
18057	138
18059	149
18061	131
18063	162
18065	152
18067	132
18069	129
18071	133
18073	122
18075	142
18077	139
18079	146
18081	150
18083	112
18085	129
18087	136
18089	130
18091	120
18093	127
18095	139
18097	156
18099	128
18101	125
18103	128
18105	142
18107	138
18109	153
18111	124
18113	129
18115	161
18117	127
18119	143
18121	138
18123	116
18125	111
18127	114
18129	100
18131	125
18133	157
18135	149
18137	163
18139	161
18141	130
18143	126
18145	153
18147	105
18149	126
18151	138
18153	123
18155	138
18157	130
18159	135
18161	166
18163	104
18165	128
18167	135
18169	128
18171	122
18173	107
18175	128
18177	162
18179	129
18181	122
18183	129
19001	84
19003	83
19005	75
19007	97
19009	77
19011	104
19013	93
19015	83
19017	76
19019	96
19021	68
19023	81
19025	78
19027	73
19029	79
19031	123
19033	70
19035	65
19037	76
19039	88
19041	64
19043	87
19045	134
19047	69
19049	88
19051	102
19053	88
19055	99
19057	116
19059	60
19061	110
19063	60
19065	80
19067	76
19069	81
19071	77
19073	78
19075	87
19077	83
19079	75
19081	69
