id	hylinox
01001	1
01003	1
01005	1
01007	1
01009	3
01011	1
01013	1
01015	2
01017	1
01019	2
01021	1
01023	1
01025	1
01027	2
01029	2
01031	1
01033	3
01035	1
01037	2
01039	1
01041	1
01043	3
01045	1
01047	1
01049	3
01051	1
01053	1
01055	3
01057	2
01059	2
01061	1
01063	1
01065	1
01067	1
01069	1
01071	2
01073	3
01075	2
01077	3
01079	2
01081	1
01083	3
01085	1
01087	1
01089	3
01091	1
01093	2
01095	3
01097	1
01099	1
01101	2
01103	3
01105	1
01107	2
01109	1
01111	2
01113	1
01115	2
01117	2
01119	1
01121	2
01123	1
01125	2
01127	2
01129	1
01131	1
01133	2
05001	2
05003	1
05005	2
05007	4
05009	2
05011	2
05013	2
05015	3
05017	2
05019	2
05021	2
05023	2
05025	2
05027	2
05029	2
05031	3
05033	3
05035	2
05037	2
05039	2
05041	2
05043	2
05045	2
05047	3
05049	2
05051	2
05053	2
05055	2
05057	2
05059	2
05061	2
05063	2
05065	2
05067	2
05069	2
05071	2
05073	2
05075	2
05077	2
05079	2
05081	2
05083	2
05085	2
05087	2
05089	2
05091	2
05093	2
05095	2
05097	2
05099	2
05101	2
05103	2
05105	2
05107	2
05109	2
05111	2
05113	2
05115	2
05117	2
05119	3
05121	2
05123	2
05125	2
05127	2
05129	2
05131	3
05133	2
05135	2
05137	2
05139	2
05141	2
05143	4
05145	2
05147	2
05149	2
09001	3
09003	2
09005	2
09007	1
09009	1
09011	0
09013	1
09015	1
10001	1
10003	1
10005	1
11001	2
12001	1
12003	1
12005	0
12007	1
12009	1
12011	0
12013	0
12015	0
12017	1
12019	1
12021	0
12023	1
12027	0
12029	0
12031	1
12033	1
12035	1
12037	0
12039	1
12041	0
12043	0
12045	0
12047	1
12049	0
12051	0
12053	1
12055	0
12057	1
12059	1
12061	0
12063	1
12065	0
12067	0
12069	1
12071	0
12073	1
12075	0
12077	0
12079	0
12081	0
12083	1
12085	1
12086	0
12087	0
12089	1
12091	1
12093	0
12095	1
12097	1
12099	0
12101	1
12103	1
12105	1
12107	1
12109	1
12111	1
12113	1
12115	0
12117	1
12119	2
12121	1
12123	0
12125	1
12127	1
12129	0
12131	1
12133	1
13001	1
13003	1
13005	1
13007	1
13009	1
13011	3
13013	3
13015	3
13017	1
13019	1
13021	1
13023	1
13025	1
13027	1
13029	1
13031	1
13033	1
13035	2
13037	1
13039	1
13043	1
13045	2
13047	3
13049	1
13051	1
13053	1
13055	3
13057	3
13059	3
13061	1
13063	3
13065	1
13067	5
13069	1
13071	1
13073	1
13075	1
13077	2
13079	1
13081	1
13083	2
13085	3
13087	1
13089	5
13091	1
13093	1
13095	1
13097	3
13099	1
13101	1
13103	1
13105	2
13107	1
13109	1
13111	2
13113	2
13115	3
13117	4
13119	3
13121	5
13123	2
13125	1
13127	1
13129	3
13131	1
13133	1
13135	5
13137	3
13139	4
13141	1
13143	2
13145	1
13147	2
13149	2
13151	2
13153	1
13155	1
13157	3
13159	1
13161	1
13163	1
13165	1
13167	1
13169	1
13171	2
13173	1
13175	1
13177	1
13179	1
13181	1
13183	1
13185	1
13187	3
13189	1
13191	1
13193	1
13195	2
13197	1
13199	1
13201	1
13205	1
13207	1
13209	1
13211	1
13213	2
13215	1
13217	2
13219	3
13221	2
13223	3
13225	2
13227	3
13229	1
13231	2
13233	2
13235	1
13237	1
13239	1
13241	2
13243	1
13245	4
13247	3
13249	1
13251	1
13253	1
13255	2
13257	2
13259	1
13261	1
13263	1
13265	1
13267	1
13269	1
13271	1
13273	1
13275	1
13277	1
13279	1
13281	2
13283	1
13285	2
13287	1
13289	1
13291	2
13293	1
13295	3
13297	3
13299	1
13301	1
13303	1
13305	1
13307	1
13309	1
13311	3
13313	3
13315	1
13317	1
13319	1
13321	1
17001	2
17003	2
17005	2
17007	4
17009	2
17011	3
17013	3
17015	3
17017	3
17019	3
17021	3
17023	3
17025	2
17027	2
17029	3
17031	3
17033	3
17035	3
17037	4
17039	3
17041	3
17043	8
17045	3
17047	2
17049	3
17051	2
17053	3
17055	2
17057	3
17059	2
17061	2
17063	3
17065	2
17067	2
17069	2
17071	3
17073	3
17075	3
17077	2
17079	2
17081	2
17083	3
17085	3
17087	2
17089	6
17091	3
17093	4
17095	3
17097	2
17099	3
17101	2
17103	3
17105	3
17107	3
17109	2
17111	4
17113	3
17115	3
17117	2
17119	3
17121	2
17123	3
17125	3
17127	2
17129	3
17131	3
17133	3
17135	2
17137	3
17139	3
17141	3
17143	3
17145	2
17147	3
17149	2
17151	2
17153	2
17155	3
17157	2
17159	2
17161	4
17163	3
17165	2
17167	3
17169	2
17171	3
17173	2
17175	3
17177	3
17179	3
17181	2
17183	3
17185	2
17187	3
17189	2
17191	2
17193	2
17195	3
17197	4
17199	2
17201	7
17203	3
18001	3
18003	3
18005	3
18007	3
18009	3
18011	4
18013	3
18015	3
18017	3
18019	2
18021	3
18023	3
18025	2
18027	3
18029	4
18031	3
18033	3
18035	3
18037	3
18039	3
18041	4
18043	4
18045	3
18047	3
18049	3
18051	2
18053	3
18055	3
18057	4
18059	4
18061	3
18063	5
18065	4
18067	4
18069	3
18071	3
18073	3
18075	3
18077	2
18079	3
18081	4
18083	3
18085	3
18087	3
18089	4
18091	3
18093	3
18095	4
18097	8
18099	3
18101	3
18103	3
18105	3
18107	3
18109	3
18111	3
18113	3
18115	3
18117	2
18119	3
18121	3
18123	2
18125	2
18127	3
18129	3
18131	3
18133	4
18135	3
18137	3
18139	3
18141	5
18143	2
18145	3
18147	2
18149	3
18151	3
18153	3
18155	2
18157	4
18159	3
18161	4
18163	4
18165	3
18167	3
18169	3
18171	3
18173	2
18175	2
18177	4
18179	3
18181	3
18183	3
19001	2
19003	2
19005	2
19007	2
19009	2
19011	3
19013	3
19015	3
19017	2
19019	3
19021	2
19023	2
19025	2
19027	2
19029	2
19031	3
19033	2
19035	2
19037	2
19039	2
19041	2
19043	2
19045	3
19047	2
19049	3
19051	2
19053	2
19055	2
19057	3
19059	2
19061	3
19063	2
19065	2
19067	2
19069	2
19071	2
19073	2
19075	2
19077	2
19079	2
19081	2
19083	2
19085	2
19087	3
19089	2
19091	2
19093	2
19095	3
19097	3
19099	3
19101	3
19103	4
19105	3
19107	3
19109	2
19111	3
19113	3
19115	3
19117	2
19119	2
19121	3
19123	3
19125	2
19127	2
19129	2
19131	2
19133	2
19135	2
19137	2
19139	3
19141	2
19143	2
19145	2
19147	2
19149	2
19151	2
19153	3
19155	2
19157	2
19159	2
19161	2
19163	4
19165	2
19167	2
19169	2
19171	3
19173	2
19175	2
19177	2
19179	3
19181	3
19183	3
19185	2
19187	3
19189	2
19191	2
19193	2
19195	2
19197	2
20001	2
20003	2
20005	2
20007	2
20009	2
20011	2
20013	2
20015	2
20017	2
20019	2
20021	2
20023	1
20025	1
20027	2
20029	2
20031	2
20033	1
20035	2
20037	2
20039	1
20041	2
20043	2
20045	4
20047	2
20049	2
20051	2
20053	2
20055	1
20057	2
20059	3
20061	2
20063	1
20065	1
20067	1
20069	1
20071	1
20073	2
20075	1
20077	2
20079	2
20081	1
20083	1
20085	2
20087	2
20089	2
20091	6
20093	1
20095	2
20097	2
20099	2
20101	1
20103	3
20105	2
20107	2
20109	1
20111	2
20113	2
20115	2
20117	2
20119	1
20121	3
20123	2
20125	2
20127	2
20129	1
20131	2
20133	2
20135	1
20137	1
20139	2
20141	2
20143	2
20145	2
20147	2
20149	2
20151	2
20153	1
20155	2
20157	2
20159	2
20161	2
20163	2
20165	2
20167	2
20169	2
20171	1
20173	4
20175	1
20177	3
20179	1
20181	1
20183	2
20185	2
20187	1
20189	1
20191	2
20193	1
20195	1
20197	2
20199	1
20201	2
20203	1
20205	2
20207	2
20209	4
21001	2
21003	2
21005	2
21007	2
21009	2
21011	1
21013	2
21015	4
21017	1
21019	2
21021	2
21023	2
21025	1
21027	2
21029	2
21031	2
21033	2
21035	2
21037	2
21039	2
21041	2
21043	1
21045	2
21047	2
21049	2
21051	1
21053	2
21055	2
21057	2
21059	3
21061	2
21063	1
21065	1
21067	2
21069	1
21071	1
21073	2
21075	2
21077	2
21079	2
21081	2
21083	2
21085	2
21087	2
21089	2
21091	2
21093	2
21095	1
21097	2
21099	2
21101	3
21103	2
21105	2
21107	2
21109	1
21111	4
21113	2
21115	1
21117	3
21119	1
21121	1
21123	2
21125	1
21127	1
21129	1
21131	1
21133	1
21135	2
21137	2
21139	2
21141	2
21143	2
21145	2
21147	1
21149	2
21151	1
21153	1
21155	2
21157	2
21159	1
21161	2
21163	2
21165	1
21167	2
21169	2
21171	2
21173	1
21175	1
21177	2
21179	2
21181	1
21183	2
21185	2
21187	2
21189	1
21191	2
21193	1
21195	1
21197	1
21199	2
21201	1
21203	1
21205	1
21207	2
21209	2
21211	2
21213	2
21215	2
21217	2
21219	2
21221	2
21223	2
21225	2
21227	2
21229	2
21231	1
21233	2
21235	2
21237	1
21239	2
22001	1
22003	1
22005	2
22007	1
22009	1
22011	2
22013	2
22015	2
22017	2
22019	2
22021	1
22023	1
22025	1
22027	2
22029	1
22031	2
22033	2
22035	1
22037	1
22039	1
22041	1
22043	1
22045	1
22047	1
22049	2
22051	0
22053	1
22055	2
22057	1
22059	1
22061	2
22063	2
22065	1
22067	1
22069	2
22071	1
22073	2
22075	0
22077	1
22079	2
22081	2
22083	1
22085	2
22087	0
22089	1
22091	1
22093	1
22095	1
22097	1
22099	1
22101	1
22103	1
22105	2
22107	1
22109	0
22111	2
22113	1
22115	2
22117	2
22119	2
22121	1
22123	1
22125	1
22127	2
23001	1
23003	0
23005	1
23007	0
23009	0
23011	0
23013	0
23015	0
23017	0
23019	0
23021	0
23023	0
23025	0
23027	0
23029	0
23031	0
24001	2
24003	1
24005	3
24009	1
24011	1
24013	4
24015	2
24017	1
24019	1
24021	3
24023	2
24025	2
24027	4
24029	1
24031	3
24033	1
24035	1
24037	1
24039	1
24041	1
24043	3
24045	1
24047	0
24510	3
25001	0
25003	1
25005	1
25007	0
25009	0
25011	1
25013	1
25015	1
25017	4
25019	0
25021	2
25023	0
25025	0
25027	2
26001	0
26003	0
26005	2
26007	0
26009	0
26011	0
26013	0
26015	2
26017	1
26019	0
26021	2
26023	3
26025	3
26027	2
26029	0
26031	0
26033	0
26035	1
26037	2
26039	0
26041	0
26043	0
26045	3
26047	0
26049	2
26051	1
26053	0
26055	1
26057	2
26059	3
26061	0
26063	0
26065	3
26067	2
26069	0
26071	0
26073	2
26075	3
26077	3
26079	0
26081	2
26083	0
26085	1
26087	1
26089	0
26091	2
26093	3
26095	0
26097	0
26099	1
26101	1
26103	0
26105	1
26107	1
26109	0
26111	1
26113	1
26115	2
26117	2
26119	0
26121	1
26123	1
26125	4
26127	1
26129	1
26131	0
26133	1
26135	0
26137	0
26139	1
26141	0
26143	1
26145	1
26147	1
26149	3
26151	0
26153	0
26155	2
26157	1
26159	2
26161	4
26163	4
26165	1
27001	1
27003	1
27005	1
27007	0
27009	1
27011	1
27013	2
27015	2
27017	0
27019	2
27021	0
27023	2
27025	1
27027	1
27029	0
27031	0
27033	2
27035	1
27037	1
27039	2
27041	1
27043	2
27045	2
27047	2
27049	1
27051	1
27053	4
27055	2
27057	1
27059	1
27061	0
27063	2
27065	1
27067	2
27069	0
27071	0
27073	1
27075	0
27077	0
27079	2
27081	2
27083	2
27085	2
27087	0
27089	0
27091	2
27093	2
27095	1
27097	1
27099	2
27101	2
27103	2
27105	2
27107	0
27109	2
27111	1
27113	0
27115	1
27117	2
27119	0
27121	1
27123	6
27125	0
27127	2
27129	2
27131	2
