id	lylinh3uan
01001	21
01003	21
01005	17
01007	26
01009	37
01011	17
01013	17
01015	34
01017	26
01019	34
01021	24
01023	17
01025	17
01027	31
01029	34
01031	16
01033	29
01035	17
01037	28
01039	16
01041	17
01043	33
01045	17
01047	19
01049	33
01051	24
01053	18
01055	35
01057	25
01059	29
01061	15
01063	20
01065	18
01067	15
01069	15
01071	33
01073	46
01075	25
01077	31
01079	30
01081	25
01083	33
01085	18
01087	21
01089	35
01091	17
01093	27
01095	34
01097	26
01099	17
01101	20
01103	34
01105	19
01107	23
01109	18
01111	28
01113	21
01115	35
01117	34
01119	18
01121	34
01123	27
01125	26
01127	29
01129	18
01131	17
01133	30
05001	18
05003	17
05005	23
05007	26
05009	23
05011	17
05013	18
05015	23
05017	17
05019	18
05021	25
05023	22
05025	18
05027	17
05029	22
05031	25
05033	23
05035	26
05037	23
05039	20
05041	18
05043	17
05045	22
05047	21
05049	23
05051	21
05053	20
05055	25
05057	17
05059	20
05061	16
05063	23
05065	22
05067	22
05069	19
05071	21
05073	17
05075	23
05077	22
05079	18
05081	16
05083	19
05085	22
05087	22
05089	23
05091	17
05093	26
05095	20
05097	18
05099	17
05101	22
05103	17
05105	21
05107	20
05109	17
05111	23
05113	17
05115	21
05117	21
05119	28
05121	24
05123	23
05125	24
05127	17
05129	22
05131	20
05133	16
05135	23
05137	22
05139	17
05141	22
05143	25
05145	22
05147	21
05149	19
09001	34
09003	35
09005	65
09007	16
09009	16
09011	16
09013	36
09015	47
10001	11
10003	23
10005	6
11001	19
12001	19
12003	16
12005	11
12007	16
12009	40
12011	17
12013	10
12015	24
12017	22
12019	29
12021	17
12023	13
12027	27
12029	8
12031	41
12033	21
12035	35
12037	7
12039	11
12041	10
12043	20
12045	9
12047	13
12049	32
12051	17
12053	30
12055	28
12057	75
12059	14
12061	31
12063	13
12065	10
12067	7
12069	49
12071	24
12073	14
12075	8
12077	9
12079	10
12081	32
12083	33
12085	28
12086	14
12087	7
12089	27
12091	17
12093	24
12095	82
12097	45
12099	22
12101	40
12103	46
12105	59
12107	29
12109	33
12111	27
12113	18
12115	29
12117	60
12119	44
12121	11
12123	7
12125	16
12127	50
12129	7
12131	15
12133	13
13001	17
13003	15
13005	16
13007	14
13009	21
13011	31
13013	34
13015	44
13017	16
13019	15
13021	24
13023	18
13025	17
13027	14
13029	22
13031	18
13033	18
13035	26
13037	14
13039	23
13043	17
13045	35
13047	36
13049	16
13051	32
13053	20
13055	34
13057	45
13059	26
13061	16
13063	58
13065	15
13067	88
13069	16
13071	15
13073	22
13075	15
13077	34
13079	22
13081	17
13083	34
13085	37
13087	13
13089	82
13091	16
13093	17
13095	16
13097	53
13099	14
13101	13
13103	20
13105	22
13107	17
13109	17
13111	28
13113	41
13115	36
13117	54
13119	27
13121	95
13123	31
13125	20
13127	19
13129	36
13131	14
13133	22
13135	59
13137	30
13139	41
13141	20
13143	36
13145	26
13147	25
13149	29
13151	35
13153	21
13155	16
13157	31
13159	24
13161	16
13163	19
13165	17
13167	19
13169	22
13171	27
13173	15
13175	17
13177	16
13179	21
13181	21
13183	19
13185	15
13187	37
13189	21
13191	19
13193	17
13195	26
13197	18
13199	25
13201	14
13205	14
13207	24
13209	17
13211	22
13213	33
13215	26
13217	30
13219	26
13221	22
13223	50
13225	23
13227	37
13229	17
13231	28
13233	37
13235	17
13237	22
13239	16
13241	30
13243	16
13245	26
13247	39
13249	18
13251	17
13253	13
13255	30
13257	28
13259	18
13261	17
13263	23
13265	20
13267	17
13269	20
13271	16
13273	16
13275	14
13277	16
13279	17
13281	29
13283	17
13285	27
13287	16
13289	20
13291	28
13293	25
13295	34
13297	33
13299	16
13301	20
13303	19
13305	17
13307	18
13309	16
13311	31
13313	35
13315	17
13317	20
13319	20
13321	16
17001	35
17003	28
17005	34
17007	69
17009	36
17011	56
17013	37
17015	51
17017	38
17019	40
17021	37
17023	39
17025	35
17027	32
17029	39
17031	58
17033	39
17035	38
17037	87
17039	39
17041	40
17043	91
17045	41
17047	34
17049	36
17051	34
17053	41
17055	31
17057	41
17059	32
17061	35
17063	60
17065	31
17067	35
17069	30
17071	40
17073	49
17075	41
17077	30
17079	37
17081	32
17083	37
17085	39
17087	29
17089	101
17091	43
17093	75
17095	45
17097	31
17099	60
17101	37
17103	67
17105	46
17107	40
17109	37
17111	63
17113	42
17115	39
17117	36
17119	34
17121	34
17123	49
17125	39
17127	29
17129	39
17131	41
17133	34
17135	36
17137	37
17139	38
17141	64
17143	46
17145	31
17147	39
17149	35
17151	30
17153	28
17155	49
17157	31
17159	37
17161	46
17163	33
17165	31
17167	37
17169	37
17171	36
17173	36
17175	48
17177	53
17179	42
17181	29
17183	41
17185	34
17187	41
17189	32
17191	33
17193	33
17195	53
17197	56
17199	31
17201	59
17203	45
18001	44
18003	42
18005	48
18007	41
18009	46
18011	49
18013	48
18015	42
18017	42
18019	40
18021	48
18023	45
18025	43
18027	40
18029	58
18031	54
18033	44
18035	48
18037	38
18039	43
18041	55
18043	42
18045	44
18047	56
18049	42
18051	36
18053	44
18055	43
18057	46
18059	50
18061	44
18063	54
18065	51
18067	44
18069	43
18071	44
18073	41
18075	47
18077	46
18079	49
18081	50
18083	37
18085	43
18087	45
18089	43
18091	40
18093	42
18095	46
18097	52
18099	43
18101	42
18103	43
18105	47
18107	46
18109	51
18111	41
18113	43
18115	54
18117	42
18119	48
18121	46
18123	39
18125	37
18127	38
18129	33
18131	42
18133	52
18135	50
18137	54
18139	54
18141	43
18143	42
18145	51
18147	35
18149	42
18151	46
18153	41
18155	46
18157	43
18159	45
18161	55
18163	35
18165	43
18167	45
18169	43
18171	41
18173	36
18175	43
18177	54
18179	43
18181	41
18183	43
19001	28
19003	28
19005	25
19007	32
19009	26
19011	35
19013	31
19015	28
19017	25
19019	32
19021	23
19023	27
19025	26
19027	24
19029	26
19031	41
19033	23
19035	22
19037	25
19039	29
19041	21
19043	29
19045	45
19047	23
19049	29
19051	34
19053	29
19055	33
19057	39
19059	20
19061	37
19063	20
19065	27
19067	25
19069	27
19071	26
19073	26
19075	29
19077	28
19079	25
19081	23
19083	27
19085	24
19087	38
19089	23
19091	24
19093	23
19095	35
19097	42
19099	31
19101	35
19103	38
19105	40
19107	35
19109	22
19111	36
19113	35
19115	41
19117	31
19119	18
19121	30
19123	33
19125	31
19127	29
19129	26
19131	23
19133	22
19135	32
19137	26
19139	41
19141	20
19143	19
19145	26
19147	21
19149	20
19151	23
19153	31
19155	25
19157	33
19159	28
19161	24
19163	46
19165	24
19167	19
19169	29
19171	31
19173	28
19175	28
19177	34
19179	35
19181	31
19183	38
19185	31
19187	25
19189	21
19191	24
19193	22
19195	22
19197	25
20001	27
20003	29
20005	28
20007	18
20009	18
20011	27
20013	25
20015	24
20017	24
20019	24
20021	26
20023	14
20025	15
20027	22
20029	21
20031	28
20033	16
20035	23
20037	26
20039	15
20041	22
20043	26
20045	33
20047	17
20049	24
20051	17
20053	19
20055	15
20057	16
20059	32
20061	24
20063	15
20065	16
20067	14
20069	15
20071	13
20073	24
20075	13
20077	21
20079	23
20081	14
20083	16
20085	26
20087	28
20089	20
20091	39
20093	14
20095	19
20097	17
20099	26
20101	15
20103	31
20105	19
20107	29
20109	14
20111	25
20113	22
20115	23
20117	24
20119	14
20121	34
20123	19
20125	25
20127	24
20129	13
20131	25
20133	26
20135	16
20137	16
20139	29
20141	18
20143	21
20145	17
20147	17
20149	25
20151	18
20153	14
