id	lylinh3ur
01001	39
01003	38
01005	32
01007	48
01009	69
01011	32
01013	32
01015	64
01017	49
01019	63
01021	44
01023	32
01025	32
01027	58
01029	63
01031	30
01033	55
01035	32
01037	52
01039	29
01041	31
01043	62
01045	31
01047	35
01049	62
01051	45
01053	34
01055	65
01057	46
01059	54
01061	29
01063	37
01065	34
01067	29
01069	28
01071	61
01073	86
01075	46
01077	58
01079	57
01081	47
01083	63
01085	33
01087	39
01089	65
01091	32
01093	51
01095	65
01097	49
01099	32
01101	37
01103	64
01105	35
01107	43
01109	34
01111	53
01113	40
01115	66
01117	64
01119	34
01121	63
01123	50
01125	49
01127	54
01129	34
01131	32
01133	57
05001	35
05003	31
05005	43
05007	48
05009	43
05011	32
05013	33
05015	44
05017	32
05019	33
05021	46
05023	42
05025	33
05027	32
05029	41
05031	46
05033	44
05035	49
05037	43
05039	37
05041	33
05043	33
05045	42
05047	39
05049	44
05051	39
05053	37
05055	46
05057	31
05059	38
05061	30
05063	42
05065	42
05067	41
05069	37
05071	39
05073	32
05075	44
05077	41
05079	35
05081	30
05083	36
05085	41
05087	41
05089	43
05091	32
05093	49
05095	38
05097	33
05099	32
05101	41
05103	32
05105	39
05107	38
05109	32
05111	43
05113	33
05115	40
05117	39
05119	53
05121	45
05123	43
05125	45
05127	33
05129	42
05131	38
05133	30
05135	44
05137	42
05139	32
05141	41
05143	47
05145	42
05147	39
05149	36
09001	64
09003	65
09005	122
09007	31
09009	30
09011	30
09013	67
09015	88
10001	21
10003	44
10005	10
11001	35
12001	37
12003	30
12005	22
12007	30
12009	75
12011	32
12013	19
12015	44
12017	42
12019	54
12021	31
12023	24
12027	51
12029	15
12031	76
12033	39
12035	66
12037	13
12039	21
12041	19
12043	38
12045	17
12047	24
12049	61
12051	31
12053	56
12055	52
12057	141
12059	27
12061	59
12063	24
12065	19
12067	14
12069	91
12071	45
12073	25
12075	15
12077	17
12079	19
12081	60
12083	62
12085	52
12086	26
12087	12
12089	51
12091	31
12093	45
12095	153
12097	85
12099	41
12101	76
12103	86
12105	110
12107	55
12109	61
12111	51
12113	34
12115	54
12117	112
12119	82
12121	21
12123	14
12125	30
12127	93
12129	13
12131	28
12133	24
13001	33
13003	27
13005	30
13007	27
13009	39
13011	58
13013	64
13015	83
13017	30
13019	28
13021	45
13023	34
13025	32
13027	25
13029	42
13031	34
13033	34
13035	49
13037	27
13039	44
13043	33
13045	65
13047	67
13049	30
13051	59
13053	38
13055	64
13057	84
13059	48
13061	30
13063	109
13065	27
13067	165
13069	29
13071	27
13073	41
13075	28
13077	64
13079	41
13081	32
13083	64
13085	70
13087	24
13089	154
13091	31
13093	32
13095	30
13097	99
13099	27
13101	24
13103	38
13105	40
13107	33
13109	33
13111	52
13113	78
13115	67
13117	101
13119	51
13121	178
13123	59
13125	37
13127	36
13129	67
13131	26
13133	41
13135	111
13137	57
13139	77
13141	37
13143	68
13145	48
13147	47
13149	54
13151	65
13153	39
13155	30
13157	58
13159	45
13161	30
13163	35
13165	33
13167	35
13169	42
13171	50
13173	28
13175	32
13177	31
13179	40
13181	40
13183	35
13185	28
13187	70
13189	39
13191	36
13193	32
13195	49
13197	34
13199	48
13201	27
13205	26
13207	45
13209	32
13211	41
13213	63
13215	48
13217	56
13219	48
13221	40
13223	93
13225	42
13227	69
13229	32
13231	52
13233	70
13235	32
13237	41
13239	30
13241	56
13243	30
13245	48
13247	72
13249	34
13251	33
13253	24
13255	57
13257	52
13259	34
13261	32
13263	44
13265	38
13267	33
13269	37
13271	31
13273	30
13275	25
13277	30
13279	32
13281	54
13283	32
13285	51
13287	30
13289	37
13291	53
13293	46
13295	64
13297	61
13299	30
13301	37
13303	35
13305	32
13307	34
13309	31
13311	59
13313	65
13315	32
13317	38
13319	38
13321	30
17001	65
17003	52
17005	64
17007	128
17009	68
17011	105
17013	70
17015	96
17017	71
17019	76
17021	69
17023	74
17025	66
17027	61
17029	74
17031	109
17033	74
17035	72
17037	163
17039	74
17041	75
17043	171
17045	77
17047	64
17049	68
17051	64
17053	76
17055	58
17057	76
17059	59
17061	67
17063	113
17065	59
17067	67
17069	57
17071	75
17073	92
17075	78
17077	56
17079	70
17081	60
17083	70
17085	73
17087	54
17089	190
17091	81
17093	140
17095	85
17097	58
17099	113
17101	69
17103	125
17105	86
17107	74
17109	69
17111	118
17113	78
17115	73
17117	67
17119	64
17121	64
17123	92
17125	73
17127	54
17129	73
17131	77
17133	64
17135	67
17137	69
17139	71
17141	120
17143	86
17145	58
17147	74
17149	65
17151	56
17153	52
17155	92
17157	58
17159	69
17161	86
17163	62
17165	59
17167	69
17169	69
17171	68
17173	67
17175	90
17177	99
17179	79
17181	54
17183	77
17185	64
17187	76
17189	59
17191	62
17193	61
17195	99
17197	105
17199	57
17201	111
17203	84
18001	82
18003	79
18005	90
18007	77
18009	86
18011	91
18013	89
18015	79
18017	79
18019	76
18021	90
18023	84
18025	80
18027	75
18029	109
18031	101
18033	82
18035	91
18037	72
18039	81
18041	104
18043	79
18045	82
18047	105
18049	79
18051	67
18053	83
18055	80
18057	86
18059	93
18061	82
18063	101
18065	95
18067	82
18069	80
18071	83
18073	77
18075	88
18077	87
18079	91
18081	94
18083	70
18085	80
18087	85
18089	81
18091	75
18093	79
18095	87
18097	98
18099	80
18101	78
18103	80
18105	89
18107	86
18109	96
18111	78
18113	81
18115	101
18117	79
18119	89
18121	86
18123	72
18125	69
18127	71
18129	63
18131	78
18133	98
18135	93
18137	102
18139	101
18141	81
18143	79
18145	96
18147	65
18149	79
18151	86
18153	77
18155	86
18157	81
18159	84
18161	104
18163	65
18165	80
18167	84
18169	80
18171	76
18173	67
18175	80
18177	102
18179	81
18181	77
18183	80
19001	53
19003	52
19005	47
19007	61
19009	48
19011	65
19013	58
19015	52
19017	47
19019	60
19021	42
19023	51
19025	48
19027	45
19029	49
19031	77
19033	44
19035	41
19037	47
19039	55
19041	40
19043	54
19045	84
19047	43
19049	55
19051	64
19053	55
19055	62
19057	73
19059	37
19061	69
19063	37
19065	50
19067	47
19069	50
19071	48
19073	48
19075	54
19077	52
19079	47
19081	43
19083	50
19085	45
19087	71
19089	43
19091	44
19093	43
19095	66
19097	79
19099	59
19101	66
19103	72
19105	76
19107	66
19109	41
19111	67
19113	66
19115	77
19117	58
19119	35
19121	57
19123	63
19125	58
