id	lyliuantot
01001	31
01003	31
01005	25
01007	37
01009	58
01011	25
01013	25
01015	52
01017	38
01019	52
01021	35
01023	25
01025	24
01027	44
01029	48
01031	25
01033	51
01035	24
01037	40
01039	24
01041	25
01043	55
01045	26
01047	29
01049	54
01051	37
01053	27
01055	54
01057	37
01059	45
01061	25
01063	30
01065	27
01067	24
01069	25
01071	50
01073	74
01075	37
01077	52
01079	48
01081	38
01083	56
01085	27
01087	31
01089	57
01091	25
01093	41
01095	57
01097	45
01099	24
01101	40
01103	55
01105	28
01107	34
01109	27
01111	41
01113	34
01115	52
01117	49
01119	27
01121	52
01123	39
01125	38
01127	45
01129	26
01131	25
01133	45
05001	30
05003	26
05005	37
05007	47
05009	36
05011	26
05013	27
05015	38
05017	31
05019	28
05021	42
05023	35
05025	27
05027	27
05029	36
05031	50
05033	38
05035	44
05037	39
05039	31
05041	30
05043	28
05045	38
05047	35
05049	35
05051	33
05053	31
05055	42
05057	27
05059	35
05061	26
05063	35
05065	33
05067	38
05069	33
05071	32
05073	28
05075	39
05077	38
05079	31
05081	27
05083	31
05085	38
05087	34
05089	37
05091	29
05093	45
05095	34
05097	28
05099	27
05101	33
05103	26
05105	33
05107	34
05109	27
05111	38
05113	28
05115	33
05117	36
05119	54
05121	38
05123	39
05125	37
05127	28
05129	33
05131	40
05133	26
05135	35
05137	33
05139	27
05141	33
05143	45
05145	38
05147	36
05149	31
09001	96
09003	61
09005	85
09007	23
09009	25
09011	23
09013	47
09015	60
10001	19
10003	36
10005	15
11001	55
12001	30
12003	23
12005	19
12007	24
12009	61
12011	24
12013	15
12015	36
12017	36
12019	53
12021	26
12023	19
12027	40
12029	13
12031	59
12033	31
12035	50
12037	11
12039	18
12041	17
12043	30
12045	14
12047	19
12049	47
12051	25
12053	47
12055	40
12057	115
12059	23
12061	50
12063	20
12065	16
12067	11
12069	70
12071	36
12073	21
12075	13
12077	14
12079	16
12081	52
12083	48
12085	61
12086	22
12087	10
12089	39
12091	25
12093	35
12095	120
12097	64
12099	33
12101	66
12103	87
12105	89
12107	42
12109	46
12111	52
12113	26
12115	43
12117	81
12119	83
12121	19
12123	11
12125	23
12127	84
12129	11
12131	22
12133	20
13001	26
13003	22
13005	24
13007	22
13009	32
13011	50
13013	56
13015	67
13017	24
13019	24
13021	37
13023	28
13025	24
13027	22
13029	33
13031	28
13033	27
13035	39
13037	22
13039	33
13043	26
13045	53
13047	58
13049	22
13051	48
13053	30
13055	52
13057	66
13059	43
13061	25
13063	90
13065	22
13067	133
13069	24
13071	25
13073	33
13075	24
13077	50
13079	32
13081	27
13083	53
13085	57
13087	21
13089	125
13091	25
13093	27
13095	26
13097	79
13099	22
13101	19
13103	29
13105	33
13107	26
13109	26
13111	43
13113	71
13115	56
13117	86
13119	45
13121	148
13123	47
13125	29
13127	29
13129	56
13131	22
13133	32
13135	92
13137	47
13139	68
13141	29
13143	53
13145	37
13147	44
13149	42
13151	55
13153	38
13155	26
13157	49
13159	35
13161	24
13163	29
13165	26
13167	28
13169	33
13171	41
13173	24
13175	26
13177	27
13179	31
13181	32
13183	27
13185	25
13187	56
13189	32
13191	29
13193	27
13195	43
13197	27
13199	37
13201	23
13205	23
13207	35
13209	26
13211	33
13213	51
13215	37
13217	47
13219	51
13221	33
13223	73
13225	41
13227	55
13229	25
13231	47
13233	56
13235	26
13237	32
13239	24
13241	45
13243	24
13245	58
13247	60
13249	27
13251	26
13253	22
13255	48
13257	45
13259	27
13261	27
13263	34
13265	30
13267	26
13269	29
13271	25
13273	25
13275	22
13277	26
13279	26
13281	44
13283	26
13285	41
13287	25
13289	29
13291	44
13293	37
13295	53
13297	52
13299	24
13301	30
13303	28
13305	25
13307	27
13309	25
13311	48
13313	57
13315	26
13317	30
13319	30
13321	26
17001	54
17003	44
17005	53
17007	105
17009	54
17011	84
17013	56
17015	78
17017	58
17019	64
17021	59
17023	60
17025	54
17027	52
17029	66
17031	89
17033	60
17035	60
17037	130
17039	62
17041	62
17043	178
17045	64
17047	54
17049	57
17051	52
17053	63
17055	50
17057	62
17059	50
17061	55
17063	93
17065	50
17067	55
17069	46
17071	60
17073	75
17075	64
17077	47
17079	58
17081	52
17083	59
17085	60
17087	44
17089	171
17091	71
17093	114
17095	71
17097	45
17099	92
17101	57
17103	99
17105	70
17107	62
17109	57
17111	101
17113	64
17115	65
17117	55
17119	55
17121	52
17123	74
17125	61
17127	47
17129	60
17131	63
17133	56
17135	56
17137	58
17139	59
17141	96
17143	73
17145	48
17147	62
17149	53
17151	45
17153	44
17155	73
17157	49
17159	57
17161	77
17163	59
17165	49
17167	61
17169	56
17171	57
17173	56
17175	74
17177	82
17179	68
17181	45
17183	65
17185	54
17187	63
17189	49
17191	51
17193	52
17195	80
17197	95
17199	51
17201	121
17203	68
18001	67
18003	66
18005	77
18007	64
18009	71
18011	80
18013	66
18015	66
18017	68
18019	60
18021	73
18023	71
18025	59
18027	62
18029	88
18031	81
18033	66
18035	75
18037	59
18039	67
18041	85
18043	83
18045	67
18047	83
18049	65
18051	57
18053	71
18055	63
18057	76
18059	80
18061	67
18063	97
18065	80
18067	75
18069	68
18071	66
18073	63
18075	73
18077	66
18079	71
18081	81
18083	59
18085	70
18087	67
18089	75
18091	64
18093	63
18095	80
18097	119
18099	67
18101	59
18103	67
18105	70
18107	72
18109	78
18111	64
18113	68
18115	80
18117	61
18119	71
18121	69
18123	54
18125	55
18127	66
18129	57
18131	64
18133	80
18135	78
18137	80
18139	82
18141	81
18143	62
18145	80
18147	54
18149	64
18151	69
18153	62
18155	66
18157	72
18159	72
18161	87
18163	67
18165	65
18167	72
18169	67
18171	62
18173	53
18175	62
18177	91
18179	68
18181	63
18183	70
19001	46
19003	45
19005	39
19007	51
19009	42
19011	58
19013	51
19015	47
19017	42
19019	51
19021	38
19023	45
19025	43
19027	40
19029	43
19031	64
19033	42
19035	36
19037	42
19039	47
19041	36
19043	45
19045	69
19047	38
19049	51
19051	53
19053	47
19055	52
19057	62
19059	34
19061	57
19063	34
19065	43
19067	42
19069	44
19071	43
19073	43
19075	48
19077	45
19079	42
19081	38
19083	44
19085	40
19087	59
19089	38
19091	40
19093	38
19095	55
19097	65
19099	51
19101	55
19103	70
19105	62
19107	55
19109	36
19111	56
19113	58
19115	63
19117	48
19119	32
19121	51
19123	54
19125	50
19127	48
19129	42
19131	38
19133	37
19135	52
19137	43
19139	66
19141	34
19143	33
19145	43
19147	36
19149	35
19151	38
19153	57
19155	41
19157	52
19159	44
19161	40
19163	82
19165	40
19167	34
19169	48
19171	51
19173	45
19175	45
19177	53
19179	55
19181	53
19183	59
19185	49
19187	44
19189	35
19191	39
19193	37
19195	37
19197	42
20001	44
20003	48
20005	45
20007	29
20009	30
20011	44
20013	41
20015	40
20017	39
20019	39
20021	43
20023	23
20025	26
20027	36
20029	34
20031	45
20033	28
20035	39
20037	43
20039	25
20041	37
20043	42
20045	66
20047	28
20049	39
20051	28
20053	32
20055	25
20057	27
20059	53
20061	41
20063	25
20065	27
20067	23
20069	25
20071	22
20073	40
20075	22
20077	36
20079	38
20081	24
20083	26
20085	42
20087	46
20089	33
20091	96
20093	23
20095	32
20097	28
20099	44
20101	25
20103	55
20105	32
20107	48
20109	24
20111	42
20113	38
20115	39
20117	39
20119	25
20121	57
20123	32
20125	42
20127	40
20129	22
20131	40
20133	44
20135	26
20137	27
20139	48
20141	30
20143	34
20145	28
20147	29
20149	40
20151	30
20153	24
20155	37
20157	35
20159	33
20161	38
20163	28
20165	29
20167	30
20169	39
20171	24
20173	59
20175	23
20177	51
20179	25
20181	23
20183	31
20185	31
20187	22
20189	23
20191	41
20193	24
20195	27
20197	42
20199	22
20201	36
20203	24
20205	42
20207	44
20209	77
21001	41
21003	42
21005	49
21007	44
21009	45
21011	42
21013	39
21015	91
21017	46
21019	50
21021	47
21023	50
21025	35
21027	55
21029	52
21031	44
21033	45
21035	45
21037	60
21039	44
21041	57
21043	44
21045	41
21047	46
21049	45
21051	36
21053	39
21055	46
21057	39
21059	58
21061	42
21063	39
21065	36
21067	46
21069	44
21071	35
21073	49
21075	44
21077	67
21079	44
21081	52
21083	46
21085	44
21087	44
21089	46
21091	52
21093	50
21095	38
21097	49
21099	43
21101	55
21103	52
21105	43
21107	47
21109	36
21111	86
21113	49
21115	37
21117	69
21119	36
21121	38
21123	47
21125	38
21127	39
21129	35
21131	36
21133	39
21135	45
21137	42
21139	44
21141	46
21143	45
21145	47
21147	34
21149	48
21151	40
21153	36
21155	44
21157	45
21159	36
21161	50
21163	64
21165	35
21167	49
21169	40
21171	41
21173	43
21175	37
21177	45
21179	47
21181	45
21183	44
21185	58
21187	52
21189	35
21191	52
21193	37
21195	35
21197	36
21199	40
21201	43
21203	38
21205	39
21207	41
21209	47
21211	53
21213	47
21215	49
21217	44
21219	44
21221	44
21223	56
21225	52
21227	45
21229	47
21231	37
21233	49
21235	39
21237	35
21239	54
22001	36
22003	30
22005	42
22007	23
22009	30
22011	34
22013	30
22015	28
22017	34
22019	43
22021	28
22023	33
22025	30
22027	27
22029	30
22031	38
22033	48
22035	29
22037	29
22039	32
22041	30
22043	28
22045	20
22047	29
22049	30
22051	19
22053	34
22055	46
22057	18
22059	28
22061	29
22063	37
22065	29
22067	28
22069	30
22071	58
22073	40
22075	15
22077	32
22079	33
22081	30
22083	30
22085	31
22087	21
22089	35
22091	30
22093	28
22095	37
22097	32
22099	29
22101	19
22103	39
22105	35
22107	29
22109	13
22111	27
22113	28
22115	30
22117	34
22119	27
22121	34
22123	29
22125	29
22127	28
23001	12
23003	2
23005	17
23007	7
23009	4
23011	8
23013	2
23015	4
23017	12
23019	3
23021	3
23023	8
23025	5
23027	5
23029	2
23031	9
24001	64
24003	21
24005	69
24009	17
24011	17
24013	133
24015	38
24017	19
24019	15
24021	119
24023	65
