id	hyhivoc
1001	2
1003	2
1005	1.5
1007	2.5
1009	3.5
1011	1.5
1013	1.5
1015	3.5
1017	3
1019	3.5
1021	2.5
1023	1.5
1025	1.5
1027	3
1029	3
1031	2
1033	4
1035	1.5
1037	3
1039	2
1041	2
1043	4
1045	2
1047	2
1049	3.5
1051	2.5
1053	2
1055	3.5
1057	2.5
1059	3
1061	2
1063	2
1065	1.5
1067	1.5
1069	2
1071	3
1073	7
1075	2.5
1077	3.5
1079	3
1081	3
1083	3.5
1085	2
1087	2
1089	4
1091	1.5
1093	3
1095	4
1097	4.5
1099	1.5
1101	4.5
1103	4
1105	2
1107	2
1109	2
1111	2.5
1113	3
1115	3.5
1117	3.5
1119	1.5
1121	3.5
1123	2.5
1125	2.5
1127	3.5
1129	2
1131	1.5
1133	3
5001	2
5003	2
5005	3
5007	3.5
5009	2.5
5011	2
5013	2
5015	2.5
5017	2
5019	2
5021	2.5
5023	2.5
5025	2
5027	2
5029	2.5
5031	4.5
5033	2.5
5035	2.5
5037	2.5
5039	2.5
5041	2
5043	2
5045	2.5
5047	2.5
5049	2
5051	2.5
5053	2.5
5055	2.5
5057	2
5059	3
5061	2
5063	2.5
5065	2
5067	2.5
5069	2
5071	2
5073	2
5075	2.5
5077	2.5
5079	2
5081	2
5083	2
5085	2.5
5087	2
5089	2.5
5091	2
5093	3
5095	2
5097	2
5099	2
5101	2
5103	2
5105	2
5107	2
5109	2
5111	2.5
5113	2
5115	2
5117	2.5
5119	5
5121	2.5
5123	2.5
5125	2.5
5127	2
5129	2
5131	3.5
5133	2
5135	2
5137	2
5139	2
5141	2
5143	3
5145	2.5
5147	2.5
5149	2
9001	11
9003	5.5
9005	4
9007	1.5
9009	1.5
9011	1
9013	2
9015	3
10001	1
10003	2
10005	1.5
11001	7.5
12001	2.5
12003	2
12005	1.5
12007	2
12009	4.5
12011	1.5
12013	1
12015	2.5
12017	3.5
12019	7
12021	2
12023	1.5
12027	3
12029	1
12031	4.5
12033	2
12035	4
12037	0.5
12039	1.5
12041	1.5
12043	2
12045	1
12047	1.5
12049	3.5
12051	1.5
12053	4.5
12055	2.5
12057	9
12059	2
12061	4
12063	1.5
12065	1
12067	1
12069	5
12071	3
12073	1.5
12075	1
12077	1
12079	1
12081	4.5
12083	4
12085	8.5
12086	2.5
12087	0.5
12089	3
12091	2
12093	2.5
12095	9.5
12097	4
12099	2.5
12101	6.5
12103	9
12105	7.5
12107	3.5
12109	3
12111	6.5
12113	2
12115	3.5
12117	5.5
12119	11
12121	1.5
12123	1
12125	2
12127	10
12129	1
12131	1.5
