id	hylinh3ur
1001	9
1003	8.5
1005	7
1007	11
1009	15.5
1011	7
1013	7
1015	14.5
1017	11
1019	14
1021	10
1023	7
1025	7
1027	13
1029	14
1031	7
1033	12.5
1035	7
1037	11.5
1039	6.5
1041	7
1043	14
1045	7
1047	8
1049	14
1051	10
1053	7.5
1055	14.5
1057	10.5
1059	12
1061	6.5
1063	8.5
1065	7.5
1067	6.5
1069	6.5
1071	14
1073	19.5
1075	10.5
1077	13
1079	12.5
1081	10.5
1083	14
1085	7.5
1087	9
1089	14.5
1091	7
1093	11.5
1095	14.5
1097	11
1099	7
1101	8.5
1103	14.5
1105	8
1107	9.5
1109	7.5
1111	12
1113	9
1115	15
1117	14.5
1119	7.5
1121	14
1123	11
1125	11
1127	12
1129	7.5
1131	7
1133	12.5
5001	8
5003	7
5005	9.5
5007	11
5009	10
5011	7
5013	7.5
5015	10
5017	7
5019	7.5
5021	10.5
5023	9.5
5025	7.5
5027	7
5029	9
5031	10.5
5033	10
5035	11
5037	10
5039	8.5
5041	7.5
5043	7.5
5045	9.5
5047	9
5049	10
5051	8.5
5053	8.5
5055	10.5
5057	7
5059	8.5
5061	6.5
5063	9.5
5065	9.5
5067	9
5069	8
5071	8.5
5073	7
5075	10
5077	9
5079	8
5081	7
5083	8
5085	9
5087	9.5
5089	9.5
5091	7
5093	11
5095	8.5
5097	7.5
5099	7
5101	9.5
5103	7
5105	8.5
5107	8.5
5109	7
5111	10
5113	7.5
5115	9
5117	9
5119	12
5121	10
5123	9.5
5125	10
5127	7.5
5129	9.5
5131	8.5
5133	7
5135	10
5137	9.5
5139	7
5141	9
5143	10.5
5145	9.5
5147	9
5149	8
9001	14.5
9003	14.5
9005	27.5
9007	7
9009	7
9011	7
9013	15
9015	20
10001	4.5
10003	10
10005	2.5
11001	8
12001	8
12003	6.5
12005	5
12007	6.5
12009	17
12011	7.5
12013	4
12015	10
12017	9.5
12019	12
12021	7
12023	5.5
12027	11.5
12029	3.5
12031	17
12033	8.5
12035	15
12037	3
12039	5
12041	4.5
12043	8.5
12045	3.5
12047	5.5
12049	13.5
12051	7
12053	12.5
12055	11.5
12057	31.5
12059	6
12061	13
12063	5.5
12065	4.5
12067	3
12069	20.5
12071	10
12073	5.5
12075	3.5
12077	4
12079	4
12081	13.5
12083	14
12085	12
12086	6
12087	3
12089	11.5
12091	7
12093	10
12095	34.5
12097	19
12099	9.5
12101	17
12103	19.5
12105	24.5
12107	12.5
12109	14
12111	11.5
12113	7.5
12115	12
12117	25.5
12119	18.5
12121	4.5
12123	3
12125	6.5
12127	21
12129	3
12131	6
12133	5.5
13001	7.5
13003	6
13005	7
13007	6
13009	8.5
13011	13
13013	14.5
13015	18.5
13017	6.5
13019	6.5
13021	10
13023	7.5
13025	7
13027	5.5
13029	9.5
13031	7.5
13033	7.5
