id	hymiurtot
1001	21
1003	21
1005	17
1007	25.5
1009	38.5
1011	17
1013	17
1015	35
1017	26.5
1019	35
1021	24
1023	17
1025	17
1027	31
1029	33.5
1031	16.5
1033	32.5
1035	17
1037	28
1039	16
1041	17
1043	35.5
1045	17.5
1047	19.5
1049	35
1051	25
1053	18.5
1055	36
1057	25
1059	30
1061	16.5
1063	20.5
1065	18.5
1067	16
1069	16.5
1071	33.5
1073	49
1075	25
1077	33
1079	31.5
1081	25.5
1083	35.5
1085	18
1087	21.5
1089	36.5
1091	17
1093	28
1095	36.5
1097	29
1099	17
1101	24
1103	36
1105	19.5
1107	23
1109	18.5
1111	28.5
1113	23
1115	36
1117	34.5
1119	18.5
1121	34.5
1123	26.5
1125	26.5
1127	30
1129	18
1131	17.5
1133	30.5
5001	19.5
5003	17.5
5005	24.5
5007	29
5009	24
5011	17.5
5013	18.5
5015	24.5
5017	19
5019	19
5021	26.5
5023	23
5025	18.5
5027	18
5029	23
5031	29.5
5033	24.5
5035	27.5
5037	24.5
5039	21
5041	19
5043	18.5
5045	24
5047	22.5
5049	23.5
5051	22
5053	21
5055	26.5
5057	17.5
5059	22.5
5061	17
5063	23.5
5065	23
5067	23.5
5069	21
5071	21.5
5073	18
5075	25
5077	24
5079	19.5
5081	17.5
5083	20
5085	24
5087	23
5089	24
5091	18.5
5093	28
5095	21.5
5097	18.5
5099	18
5101	22.5
5103	17.5
5105	21.5
5107	21.5
5109	18
5111	24.5
5113	18.5
5115	22
5117	22.5
5119	32.5
5121	25
5123	24.5
5125	25
5127	18.5
5129	22.5
5131	24
5133	17
5135	24
5137	23
5139	18
5141	22.5
5143	27.5
5145	24
5147	22.5
5149	20.5
9001	49.5
9003	38.5
9005	62
9007	16
9009	16.5
9011	16
9013	34
9015	44.5
10001	12
10003	24
10005	8
11001	28.5
12001	20.5
12003	16
12005	12.5
12007	16.5
12009	41.5
12011	17
12013	10.5
12015	24.5
12017	24
12019	33.5
12021	17.5
12023	13
12027	27.5
12029	8.5
12031	41
12033	21
12035	35.5
12037	7.5
12039	12
12041	11
12043	20.5
12045	9.5
12047	13
12049	32.5
12051	17
12053	31.5
12055	27.5
12057	77.5
12059	15
12061	33
12063	13.5
12065	10.5
12067	7.5
12069	49
12071	24.5
12073	14
12075	8.5
12077	9.5
12079	10.5
12081	34
12083	33.5
12085	36
12086	15
12087	6.5
12089	27
12091	17
12093	24
12095	82.5
12097	44.5
12099	22.5
12101	43.5
12103	53
12105	60.5
12107	29.5
12109	32.5
12111	32
12113	18
12115	29.5
12117	58.5
12119	52
12121	12
12123	7.5
12125	16
12127	55.5
12129	7.5
12131	15
12133	13
13001	17.5
13003	15
13005	16.5
13007	15
13009	21.5
13011	32.5
13013	36
13015	45
13017	16
13019	16
13021	25
13023	19
13025	17
13027	14.5
13029	23
13031	19
13033	18.5
13035	27
13037	15
13039	23
13043	18
13045	35.5
13047	37.5
13049	15.5
13051	32.5
13053	21
13055	35
13057	45
13059	27.5
13061	16.5
13063	60.5
13065	15
13067	90
13069	16.5
13071	16
13073	22.5
13075	16
13077	34.5
13079	22
13081	17.5
13083	35.5
13085	38.5
13087	13.5
13089	84.5
13091	17
13093	18
13095	17
13097	54.5
13099	15
13101	13
13103	20
13105	22.5
13107	18
13109	17.5
13111	29
13113	45.5
13115	37.5
13117	56
13119	29
13121	98.5
13123	32
13125	20
13127	19.5
13129	37
13131	14.5
13133	22
13135	61.5
13137	31.5
13139	43.5
13141	20
13143	36.5
13145	26
13147	27.5
13149	29
13151	36.5
13153	23.5
13155	17
13157	32
13159	24.5
13161	16.5
13163	19.5
13165	17.5
13167	19
13169	22.5
13171	27.5
13173	16
13175	17.5
13177	17.5
13179	21.5
13181	22
13183	19
13185	16.5
13187	38.5
13189	21.5
13191	19.5
13193	18
13195	27.5
13197	18.5
13199	25.5
13201	15
13205	15
13207	24
13209	17.5
13211	22
13213	34.5
13215	26
13217	31
13219	30.5
13221	22
13223	50.5
13225	25.5
13227	37.5
13229	17.5
13231	30.5
13233	38
13235	17.5
13237	22
13239	16.5
13241	30.5
13243	16
13245	33.5
13247	40
13249	18.5
13251	17.5
13253	14
13255	32
13257	29.5
13259	18.5
13261	18
13263	23.5
13265	20.5
13267	17.5
13269	20
13271	17
13273	16.5
13275	14.5
13277	17
13279	17.5
13281	29.5
13283	17.5
13285	28
13287	17
13289	20
13291	29.5
13293	25
13295	35.5
13297	34
13299	16.5
13301	20
13303	19
13305	17
13307	18.5
13309	17
13311	32
13313	37
13315	17.5
13317	20.5
13319	20.5
13321	17
17001	35.5
17003	28.5
17005	35
17007	68.5
17009	36
17011	55.5
17013	37.5
17015	51
17017	38
17019	41.5
17021	38
17023	39.5
17025	35.5
17027	33.5
17029	42
17031	58.5
17033	40
17035	39
17037	86
17039	40.5
17041	40.5
17043	104
17045	42
17047	35.5
17049	37
17051	34.5
17053	41
17055	32.5
17057	41
17059	32.5
17061	36
17063	60.5
17065	32.5
17067	36
17069	30.5
17071	40
17073	49.5
17075	42
17077	31
17079	38
17081	33.5
17083	38
17085	39
17087	29.5
17089	106
17091	45.5
17093	75
17095	46
17097	30.5
17099	60.5
17101	37
17103	66
17105	46
17107	40.5
17109	37.5
17111	64.5
17113	42
17115	41
17117	36.5
17119	35.5
17121	34.5
17123	49
