id	lyliurtot
01001	48
01003	49
01005	39
01007	59
01009	90
01011	39
01013	39
01015	81
01017	61
01019	81
01021	55
01023	39
01025	39
01027	71
01029	77
01031	39
01033	76
01035	39
01037	64
01039	37
01041	39
01043	84
01045	40
01047	45
01049	83
01051	57
01053	42
01055	84
01057	58
01059	70
01061	38
01063	47
01065	43
01067	37
01069	38
01071	78
01073	114
01075	58
01077	78
01079	74
01081	59
01083	84
01085	42
01087	49
01089	87
01091	40
01093	65
01095	87
01097	67
01099	39
01101	56
01103	84
01105	44
01107	53
01109	42
01111	65
01113	53
01115	83
01117	79
01119	42
01121	81
01123	61
01125	61
01127	69
01129	41
01131	40
01133	71
05001	46
05003	41
05005	57
05007	69
05009	56
05011	40
05013	42
05015	58
05017	46
05019	44
05021	63
05023	54
05025	42
05027	42
05029	54
05031	71
05033	58
05035	66
05037	59
05039	48
05041	45
05043	42
05045	57
05047	53
05049	55
05051	51
05053	48
05055	63
05057	41
05059	53
05061	39
05063	55
05065	52
05067	56
05069	49
05071	50
05073	42
05075	59
05077	57
05079	46
05081	41
05083	47
05085	57
05087	53
05089	56
05091	43
05093	67
05095	51
05097	43
05099	41
05101	52
05103	41
05105	50
05107	51
05109	41
05111	58
05113	43
05115	51
05117	54
05119	78
05121	58
05123	59
05125	57
05127	43
05129	52
05131	57
05133	40
05135	55
05137	52
05139	41
05141	52
05143	66
05145	57
05147	54
05149	47
09001	126
09003	91
09005	142
09007	37
09009	39
09011	36
09013	78
09015	101
10001	28
10003	56
10005	19
11001	71
12001	47
12003	36
12005	28
12007	37
12009	96
12011	39
12013	24
12015	56
12017	56
12019	78
12021	40
12023	30
12027	64
12029	20
12031	94
12033	49
12035	81
12037	17
12039	28
12041	25
12043	47
12045	22
12047	30
12049	75
12051	39
12053	72
12055	64
12057	180
12059	35
12061	77
12063	31
12065	24
12067	17
12069	112
12071	57
12073	32
12075	20
12077	21
12079	24
12081	80
12083	76
12085	85
12086	33
12087	16
12089	62
12091	39
12093	56
12095	191
12097	103
12099	52
12101	101
12103	127
12105	140
12107	67
12109	74
12111	76
12113	42
12115	68
12117	133
12119	121
12121	28
12123	17
12125	37
12127	128
12129	17
12131	35
12133	30
13001	41
13003	35
13005	38
13007	34
13009	50
13011	76
13013	85
13015	105
13017	37
13019	37
13021	58
13023	44
13025	39
13027	33
13029	52
13031	44
13033	43
13035	62
13037	34
13039	53
13043	41
13045	83
13047	88
13049	36
13051	75
13053	48
13055	81
13057	105
13059	65
13061	38
13063	140
13065	34
13067	210
13069	38
13071	37
13073	52
13075	37
13077	80
13079	51
13081	41
13083	82
13085	89
13087	32
13089	196
13091	39
13093	42
13095	39
13097	125
13099	34
13101	30
13103	46
13105	52
13107	41
13109	41
13111	67
13113	107
13115	87
13117	132
13119	69
13121	231
13123	74
13125	46
13127	45
13129	87
13131	34
13133	51
13135	143
13137	73
13139	103
13141	46
13143	84
13145	59
13147	65
13149	67
13151	85
13153	55
13155	39
13157	75
13159	56
13161	38
13163	45
13165	41
13167	44
13169	52
13171	64
13173	36
13175	40
13177	40
13179	49
13181	50
13183	43
13185	38
